白奴	bainu
白托	baituo
白银书	baiyinshu
半糖夫妻	bantangfuqi
抱抱团	baobaotuan
抱抱装	baobaozhuang
奔奔族	benbenzu
笔替	biti
博斗	bodou
博客话剧	bokehuaju
博文	bowen
草根网民	caogenwangmin
车奴	chenu
成考移民	chengkaoyimin
城市依赖症	chengshiyilaizheng
村证房	cunzhengfang
大肚子经济	daduzijingji
盗版党	daobandang
倒扁	daobian
等额配比基金	dengepeibijijin
电话门	dianhuamen
电子环保亭	dianzihuanbaoting
吊瓶族	diaopingzu
丁宠家庭	dingchongjiating
动能车	dongnengche
冻容	dongrong
独二代	duerdai
断背	duanbei
二奶专家	ernaizhuanjia
法商	fashang
返券黄牛	fanquanhuangniu
饭替	fanti
房魔	fangmo
房奴	fangnu
沸腾可乐	feitengkele
废统	feitong
飞鱼族	feiyuzu
分手代理	fenshoudaili
复古学堂	fuguxuetang
福利腐败	fulifubai
感恩红包	ganenhongbao
搞笑	gaoxiao
高薪跳蚤	gaoxintiaozao
公司驻虫	gongsizhuchong
谷歌	guge
骨性	guxing
国际高考移民	guojigaokaoyimin
国六条	guoliutiao
国十条	guoshitiao
海缆断网	hailanduanwang
海绵路	haimianlu
海啸音	haixiaoyin
寒促	hancu
汉芯造假事件	hanxinzaojiashijian
合吃族	hechizu
红楼选秀	honglouxuanxiu
红衫军	hongshanjun
换客	huanke
回购地	huigoudi
灰色技能	huisejineng
会议大使	huiyidashi
婚嫁大年	hunjiadanian
急婚族	jihunzu
监控门	jiankongmen
奖骚扰	jiangsaorao
江选	jiangxuan
脚环鸡	jiaohuanji
交强险	jiaoqiangxian
节奴	jienu
解说门	jieshuomen
禁电	jindian
掘客	jueke
卡神	kashen
考霸	kaoba
科研包工头	keyanbaogongtou
啃椅族	kenyizu
空调	kongtiao
骷髅门	kuloumen
赖校族	laixiaozu
乐活族	lehuozu
梨花体	lihuati
李娅空翻	liyakongfan
两会博客	lianghuiboke
垄奴	longnu
裸考	luokao
裸替	luoti
绿色产房	lvsechanfang
慢活族	manhuozu
美丽垃圾	meililaji
迷卡	mika
蜜月保姆	miyuebaomu
秒杀	miaosha
明星枪手	mingxingqiangshou
墓产经济	muchanjingji
年后饭	nianhoufan
暖巢管家	nuanchaoguanjia
诺亚规则	nuoyaguize
跑酷	paoku
陪拼族	peipinzu
捧车族	pengchezu
拼卡	pinka
拼客	pinke
擒人节	qinrenjie
轻熟女	qingshunv
穷人跑	qiongrenpao
求学房	qiuxuefang
群租	qunzu
让票区	rangpiaoqu
人户育婴师	renhuyuyingshi
人球	renqiu
润滑经济	runhuajingji
三失	sanshi
三手病	sanshoubing
三限房	sanxianfang
三支一扶	sanzhiyifu
晒	shai
晒客	shaike
上海社保基金案	shanghaishebaojijinan
剩女	shengnv
时代	shidai
十五细则	shiwuxize
时歇业令	shixieyeling
试药族	shiyaozu
世宗	shizong
手机幻听症	shoujihuantingzheng
手机手	shoujishou
熟年	shunian
睡眠博客	shuimianboke
她经济	tajingji
痛快吧	tongkuaiba
土腐败	tufubai
图书漂移	tushupiaoyi
囤房捂盘	tunfangwupan
托业	tuoye
网络晒衣族	wangluoshaiyizu
威客	weike
微笑北京	weixiaobeijing
微笑圈	weixiaoquan
文化低保	wenhuadibao
文替	wenti
巫毒娃娃	wuduwawa
捂盘惜售	wupanxishou
新明星学者	xinmingxingxuezhe
新中间阶层	xinzhongjianjieceng
型社会	xingshehui
熊猫烧香	xiongmaoshaoxiang
炫富	xuanfu
学术超男	xueshuchaonan
学业预警	xueyeyujing
压洲	yazhou
洋腐败	yangfubai
洋漂族	yangpiaozu
移动商街	yidongshangjie
医闹	yinao
医诉	yisu
印客	yinke
游贿	youhui
游戏手	youxishou
砸票	zapiao
择校税	zexiaoshui
证奴	zhengnu
职粉	zhifen
众包	zhongbao
终统	zhongtong
住房痛苦指数	zhufangtongkuzhishu
祝寿螺患者	zhushouluohuanzhe
装嫩族	zhuangnenzu
作弊克	zuobike
