安全生产	anquanshengchan
澳人治澳	aorenzhiao
罢免	bamian
包容多样	baorongduoyang
表达权	biaodaquan
病有所医	bingyousuoyi
参与权	canyuquan
长效机制	changxiaojizhi
城市群	chengshiqun
惩治腐败	chengzhifubai
创新	chuangxin
创新发展理念	chuangxinfazhanlinian
创新人才	chuangxinrencai
创新型	chuangxinxing
创新型国家	chuangxinxingguojia
创新智慧	chuangxinzhihui
创造条件让更多群众拥有财产性收入	chuangzaotiaojianranggengduoqunzhongyongyoucaichanxingshouru
慈善事业	cishanshiye
促进社会和谐	cujinshehuihexie
大发展	dafazhan
大发展大繁荣	dafazhandafanrong
大繁荣	dafanrong
大团结	datuanjie
党风廉政建设	dangfenglianzhengjianshe
党内选举制度	dangneixuanjuzhidu
党员主体地位	dangyuanzhutidiwei
德育为先	deyuweixian
邓小平理论	dengxiaopinglilun
地球家园	diqiujiayuan
发展方式	fazhanfangshi
发展机遇	fazhanjiyu
发展难题	fazhannanti
发展质量	fazhanzhiliang
法治	fazhi
法制保障	fazhibaozhang
反对台独	fanduitaidu
反腐败	fanfubai
反腐败斗争	fanfubaidouzheng
反腐倡廉	fanfuchanglian
腐败官员	fubaiguanyuan
扶贫	fupin
服务型政府	fuwuxingzhengfu
改革开放	gaigekaifang
港人治港	gangrenzhigang
高举中国特色社会主义伟大旗帜	gaojuzhongguoteseshehuizhuyiweidaqizhi
公开	gongkai
公开选拔	gongkaixuanba
公民有序政治参与	gongminyouxuzhengzhicanyu
公平	gongping
公平准入	gongpingzhunru
公信	gongxin
公信力	gongxinli
共赢	gongying
公正	gongzheng
公众参与度	gongzhongcanyudu
顾全大局	guquandaju
官煤勾结	guanmeigoujie
观念	guannian
关注民生	guanzhuminsheng
国家荣誉制度	guojiarongyuzhidu
和平统一	hepingtongyi
和平外交	hepingwaijiao
和平协议	hepingxieyi
和谐	hexie
和谐发展	hexiefazhan
和谐社会	hexieshehui
和谐文化	hexiewenhua
和谐相处	hexiexiangchu
合作医疗	hezuoyiliao
环境友好型	huanjingyouhaoxing
环境友好型社会	huanjingyouhaoxingshehui
活力	huoli
基本公共服务均等化	jibengonggongfuwujundenghua
基本养老	jibenyanglao
基本医疗	jibenyiliao
基本医疗保险	jibenyiliaobaoxian
基层群众自治制度	jicengqunzhongzizhizhidu
激励机制	jilijizhi
继续解放思想	jixujiefangsixiang
机遇	jiyu
机遇大于挑战	jiyudayutiaozhan
机制	jizhi
坚持改革开放	jianchigaigekaifang
监督	jiandu
监督权	jianduquan
监管	jianguan
建设富强民主文明和谐的社会主义现代化国家	jianshefuqiangminzhuwenminghexiedeshehuizhuyixiandaihuaguojia
建设和谐文化	jianshehexiewenhua
教育卫生	jiaoyuweisheng
节能环保水平	jienenghuanbaoshuiping
节能减排	jienengjianpai
节约型社会	jieyuexingshehui
经济带	jingjidai
经济建设	jingjijianshe
经济圈	jingjiquan
经济责任审计	jingjizerenshenji
经济增长极	jingjizengzhangji
精神家园	jingshenjiayuan
竞争机制	jingzhengjizhi
竞争上岗	jingzhengshanggang
就业	jiuye
就业援助	jiuyeyuanzhu
就业援助制度	jiuyeyuanzhuzhidu
居民住房	juminzhufang
决策透明度	juecetoumingdu
可持续发展战略	kechixufazhanzhanlue
科教兴国战略	kejiaoxingguozhanlue
科学发展	kexuefazhan
科学发展观	kexuefazhanguan
劳动就业	laodongjiuye
劳有所得	laoyousuode
老有所养	laoyousuoyang
利为民所谋	liweiminsuomou
廉政文化	lianzhengwenhua
两岸统一	liangantongyi
领导干部作风建设	lingdaoganbuzuofengjianshe
零就业	lingjiuye
零就业家庭	lingjiuyejiating
民生	minsheng
民主管理	minzhuguanli
民主监督	minzhujiandu
民主决策	minzhujuece
民主选举	minzhuxuanju
谋发展	moufazhan
农民就业	nongminjiuye
票决	piaojue
票决制	piaojuezhi
破解发展难题	pojiefazhannanti
亲和力	qinheli
勤俭建军	qinjianjianjun
情为民所系	qingweiminsuoxi
求和平	qiuheping
权力结构	quanlijiegou
全面协调可持续	quanmianxietiaokechixu
全民学习	quanminxuexi
权为民所用	quanweiminsuoyong
热词	reci
人才强国战略	rencaiqiangguozhanlue
人民共享	renmingongxiang
人民首创精神	renminshouchuangjingshen
人民主体地位	renminzhutidiwei
人权	renquan
人权事业	renquanshiye
人人共享	renrengongxiang
人文关怀	renwenguanhuai
任用重要干部票决制	renyongzhongyaoganbupiaojuezhi
荣辱观	rongruguan
软实力	ruanshili
三步走	sanbuzou
三步走战略	sanbuzouzhanlue
三个代表	sangedaibiao
商业保险	shangyebaoxian
社会保险	shehuibaoxian
社会保障	shehuibaozhang
社会成员	shehuichengyuan
社会福利	shehuifuli
社会公平正义	shehuigongpingzhengyi
社会和谐	shehuihexie
社会活力	shehuihuoli
社会监督	shehuijiandu
社会建设	shehuijianshe
社会救助	shehuijiuzhu
社会治安	shehuizhian
社会志愿服务体系	shehuizhiyuanfuwutixi
社会主义和谐社会	shehuizhuyihexieshehui
社会主义荣辱观	shehuizhuyirongruguan
社会自治功能	shehuizizhigongneng
深入贯彻落实科学发展观	shenruguancheluoshikexuefazhanguan
生态文明	shengtaiwenming
生态文明观念	shengtaiwenmingguannian
生态文明观念在全社会牢固树立	shengtaiwenmingguannianzaiquanshehuilaogushuli
市场环境	shichanghuanjing
实践特色	shijiantese
十七大报告新词热词库	shiqidabaogaoxincireciku
首创精神	shouchuangjingshen
收入分配	shourufenpei
四位一体	siweiyiti
思想库	sixiangku
素质教育	suzhijiaoyu
提高发展质量和效益	tigaofazhanzhilianghexiaoyi
挑战	tiaozhan
统筹	tongchou
统筹兼顾	tongchoujiangu
推动科学发展	tuidongkexuefazhan
伟大革命	weidageming
为夺取全面建设小康社会新胜利而奋斗	weiduoququanmianjianshexiaokangshehuixinshenglierfendou
维护群众权益机制	weihuqunzhongquanyijizhi
文化产业群	wenhuachanyequn
文化创新	wenhuachuangxin
文化创造活力	wenhuachuangzaohuoli
文化大发展	wenhuadafazhan
文化大发展大繁荣	wenhuadafazhandafanrong
文化发展活力	wenhuafazhanhuoli
文化建设	wenhuajianshe
文化软实力	wenhuaruanshili
文化生产力	wenhuashengchanli
文明发展	wenmingfazhan
问责	wenze
问责制	wenzezhi
先进性	xianjinxing
小康	xiaokang
小康社会	xiaokangshehui
小康水平	xiaokangshuiping
新词	xinci
信访	xinfang
心理疏导	xinlishudao
信息公开	xinxigongkai
信息化	xinxihua
学习型社会	xuexixingshehui
学有所教	xueyousuojiao
巡视	xunshi
养老保险	yanglaobaoxian
以邓小平理论和三个代表重要思想为指导	yidengxiaopinglilunhesangedaibiaozhongyaosixiangweizhidao
一国两制	yiguoliangzhi
以人为本	yirenweiben
引咎辞职	yinjiucizhi
永续发展	yongxufazhan
忧患意识	youhuanyishi
育人为本	yurenweiben
与时俱进	yushijujin
在阳光下	zaiyangguangxia
战略机遇期	zhanluejiyuqi
政策体系	zhengcetixi
政府监管	zhengfujianguan
政府执行力	zhengfuzhixingli
政令畅通	zhenglingchangtong
政企分开	zhengqifenkai
政事分开	zhengshifenkai
