爱就爱我一辈子	aijiuaiwoyibeizi
爱来爱去	ailaiaiqu
爱你到来生	ainidaolaisheng
爱你到永久	ainidaoyongjiu
爱你久久久	ainijiujiujiu
爱你哦	ainio
爱你七生七世	ainiqishengqishi
爱你是幸福	ainishixingfu
爱你想你久久久	ainixiangnijiujiujiu
爱你一辈子	ainiyibeizi
爱你一千年	ainiyiqiannian
爱你一万年	ainiyiwannian
爱你一亿年	ainiyiyinian
爱上你	aishangni
爱是如此神奇	aishirucishenqi
爱死你	aisini
爱我到今生	aiwodaojinsheng
爱我就了解我	aiwojiuliaojiewo
爱我就娶我吧	aiwojiuquwoba
爱我久一点	aiwojiuyidian
爱我一辈子	aiwoyibeizi
爱相随	aixiangsui
爱走了	aizoule
八格耶鲁混蛋	bageyeluhundan
把你气死	baniqisi
八其他	baqita
拜拜唉	baibaiai
拜拜了	baibaile
伴你一生	banniyisheng
帮帮我	bangbangwo
帮我	bangwo
帮我告诉他	bangwogaosuta
保龄球	baolingqiu
抱你吻你	baoniwenni
被爱才是幸福	beiaicaishixingfu
被爱是幸福	beiaishixingfu
别爱我	bieaiwo
别惹我	bierewo
别生气	bieshengqi
不理你	bulini
不理你了	bulinile
不三不四	busanbusi
补习班	buxiban
不要在一起了无意思	buyaozaiyiqilewuyisi
猜猜我是谁	caicaiwoshishui
长长久久	changchangjiujiu
吃饱了	chibaole
吃饱了吗	chibaolema
打情骂俏	daqingmaqiao
倒过来看	daoguolaikan
到永久	daoyongjiu
对不起	duibuqi
饿不饿	ebue
饿死了	esile
分手吧	fenshouba
告诉你一件事	gaosuniyijianshi
好想你	haoxiangni
加油吧	jiayouba
叫你去吃午餐	jiaoniquchiwucan
紧紧抱着我	jinjinbaozhewo
今生爱你一人	jinshengainiyiren
今生今世爱你	jinshengjinshiaini
今生今世伴你左右	jinshengjinshibannizuoyou
久久吻你	jiujiuwenni
救救我	jiujiuwo
救救我吧	jiujiuwoba
救我	jiuwo
就想见见你	jiuxiangjianjianni
就依你	jiuyini
懒得理你	landelini
老地方不见不散	laodifangbujianbusan
恋爱用语	lianaiyongyu
溜吧溜吧	liubaliuba
漫漫相思只为你	manmanxiangsizhiweini
你爱不爱我	niaibuaiwo
你别生气	nibieshengqi
你别生气了	nibieshengqile
你不理我啦	nibuliwola
你不理我了	nibuliwole
你吃饱了吧	nichibaoleba
你恶心死了	niexinsile
你欺善怕恶	niqishanpae
你去死吧	niqusiba
你惹我生气	nirewoshengqi
你生气了	nishengqile
你是白痴	nishibaichi
你是白痴无药医	nishibaichiwuyaoyi
你是否想我	nishifouxiangwo
你是神经	nishishenjing
你是我爱妻	nishiwoaiqi
你是我的	nishiwode
你是我的最爱	nishiwodezuiai
你是我老妻	nishiwolaoqi
你是我妻	nishiwoqi
你是我唯一	nishiwoweiyi
你是我氧气	nishiwoyangqi
你我就是一辈子	niwojiushiyibeizi
你无聊时想想我	niwuliaoshixiangxiangwo
你无聊是想想我	niwuliaoshixiangxiangwo
你相思无用	nixiangsiwuyong
你依旧是爱我	niyijiushiaiwo
你找我	nizhaowo
你走吧	nizouba
起来吧	qilaiba
七零八落	qilingbaluo
其实不想走	qishibuxiangzou
其实你不了解我	qishinibuliaojiewo
其实我是爱你	qishiwoshiaini
气死你	qisini
气死我	qisiwo
亲爱的	qinaide
亲你	qinni
亲亲你抱抱你我爱你	qinqinnibaobaoniwoaini
亲亲我吧我爱你	qinqinwobawoaini
亲亲我抱抱我	qinqinwobaobaowo
亲亲吾爱	qinqinwuai
请你帮帮我	qingnibangbangwo
请你别走	qingnibiezou
请你留下来	qingniliuxialai
请你让我依靠一辈子	qingnirangwoyikaoyibeizi
请你相信我	qingnixiangxinwo
情深怕缘浅	qingshenpayuanqian
求你爱我想我	qiuniaiwoxiangwo
求你别走	qiunibiezou
求求你别抛弃我	qiuqiunibiepaoqiwo
求求你一生一世别抛弃我	qiuqiuniyishengyishibiepaoqiwo
去喝酒	quhejiu
去溜达溜达	quliudaliuda
去死去死你去死	qusiqusiniqusi
去跳舞	qutiaowu
去走走吧	quzouzouba
山盟海誓	shanmenghaishi
上网吧	shangwangba
上网了	shangwangle
神啊救救我吧	shenajiujiuwoba
生生世世	shengshengshishi
生生世世我爱你	shengshengshishiwoaini
时时刻刻想想我	shishikekexiangxiangwo
是我啦	shiwola
思念你	sinianni
速速回机	susuhuiji
天长地久	tianchangdijiu
网络爱情数字代码	wangluoaiqingshuzidaima
为你伤心	weinishangxin
我爱你	woaini
我爱你到死	woainidaosi
我爱你生生世世不变心	woainishengshengshishibubianxin
我爱你我就是白痴	woainiwojiushibaichi
我爱你一生一世	woainiyishengyishi
我爱上你	woaishangni
我爱是你	woaishini
我爱死你啦	woaisinila
我爱死你了	woaisinile
我暗恋你	woanlianni
我抱歉	wobaoqian
我不介意	wobujieyi
我不来	wobulai
我不能不爱你	wobunengbuaini
我出去了	wochuqule
我到家了	wodaojiale
我饿了	woele
我发誓生生世世我爱你	wofashishengshengshishiwoaini
我发誓我爱你	wofashiwoaini
我好饿	wohaoe
我很爱你	wohenaini
我很想你	wohenxiangni
我就是爱你	wojiushiaini
我气你	woqini
我其实不想走	woqishibuxiangzou
我去了	woqule
我去上班了	woqushangbanle
我去找你	woquzhaoni
我深情依旧	woshenqingyijiu
我生气了	woshengqile
我是你爸啦	woshinibala
我是你的	woshinide
我是你老师	woshinilaoshi
我是你女朋友	woshininvpengyou
我是你妻子	woshiniqizi
我是你先生	woshinixiansheng
我时时想你	woshishixiangni
我是真心爱你	woshizhenxinaini
我始终爱你	woshizhongaini
我输了	woshule
我思念你	wosinianni
我无聊死了	wowuliaosile
我无时无刻伴你左右	wowushiwukebannizuoyou
我想抱抱你	woxiangbaobaoni
我想聊聊	woxiangliaoliao
我想你	woxiangni
我想你一辈子	woxiangniyibeizi
我想念你	woxiangnianni
我想亲亲你	woxiangqinqinni
我想死你啦	woxiangsinila
我想死你了	woxiangsinile
我想我已经爱上你	woxiangwoyijingaishangni
我想揍扁你	woxiangzoubianni
我心情不好	woxinqingbuhao
我心属于你	woxinshuyuni
我要你嫁我	woyaonijiawo
我要娶你	woyaoquni
我要睡觉了	woyaoshuijiaole
我要走了	woyaozoule
我一辈子爱你	woyibeiziaini
我已不爱你	woyibuaini
我已不爱你了	woyibuainile
我一定要娶你	woyidingyaoquni
我一定要追你	woyidingyaozhuini
我依旧想你	woyijiuxiangni
我依你我已来	woyiniwoyilai
我依然爱你	woyiranaini
我永远爱你	woyongyuanaini
我有多无聊	woyouduowuliao
我愿意	woyuanyi
我只爱你	wozhiaini
我只要你爱我	wozhiyaoniaiwo
我只在乎你	wozhizaihuni
我走了	wozoule
我最爱是你	wozuiaishini
午安	wuan
无聊时想想我	wuliaoshixiangxiangwo
无聊死了	wuliaosile
吾妻我爱你	wuqiwoaini
无时无刻不想你	wushiwukebuxiangni
无事想想我	wushixiangxiangwo
