板凳	bandeng
板斧	banfu
斑竹	banzhu
本命	benming
博客	boke
菜鸟	cainiao
残念	cannian
纯净水	chunjingshui
达人	daren
大虾	daxia
耽美	danmei
地板	diban
粉丝	fensi
灌水	guanshui
鬼畜	guichu
果酱	guojiang
好康	haokang
轰杀	hongsha
几楼的	jiloude
酱紫	jiangzi
姐贵	jiegui
囧到	jiongdao
剧场版	juchangban
恐龙	konglong
狼族	langzu
老大	laoda
雷倒	leidao
蕾丝	leisi
楼上的	loushangde
楼主	louzhu
路过	luguo
马甲	majia
美眉	meimei
木有	muyou
年下攻	nianxiagong
女王	nvwang
欧巴桑	oubasang
偶滴	oudi
拍砖头	paizhuantou
抛砖	paozhuan
潜水	qianshui
犬科	quanke
人参公鸡	renshengongji
日泛儿	rifaner
扫楼	saolou
沙发	shafa
刷屏	shuaping
水蒸气	shuizhengqi
踢一脚	tiyijiao
调教	tiaojiao
停车做爱	tingchezuoai
同人	tongren
王道	wangdao
我顶	woding
稀饭	xifan
小白	xiaobai
小强	xiaoqiang
兄贵	xionggui
椅子	yizi
幼齿	youchi
油墨	youmo
诱受	youshou
御姐	yujie
正太攻	zhengtaigong
抓狂	zhuakuang
总攻	zonggong
总受	zongshou
