奥特曼	aoteman
凹凸曼	aotuman
拜托啦人	baituolaren
抱抱	baobao
抱抱爻	baobaoyao
包在我身上	baozaiwoshenshang
鼻毛	bimao
鄙视你	bishini
辫子	bianzi
瘪嘴	biezui
冰天雪地掩面泪奔	bingtianxuediyanmianleiben
啵啵	bobo
不吃	buchi
不懂	budong
不满	buman
不是我干的	bushiwogande
不屑	buxie
不要	buyao
擦眼泪	cayanlei
财神爷	caishenye
惨了	canle
叉腰	chayao
吃我一鞭	chiwoyibian
吃药	chiyao
冲出皿	chongchumin
抽泣	chouqi
臭蚊子	chouwenzi
穿墙过去	chuanqiangguoqu
呆滞	daizhi
淡定	danding
当然	dangran
刀疤	daoba
等等我我我	dengdengwowowo
低落	diluo
低头	ditou
点头	diantou
嘟嘴	duzui
对不起	duibuqi
呃被发现了	ebeifaxianle
呃我	ewo
翻桌	fanzhuo
防御一	fangyuyi
飞吻	feiwen
分裂	fenlie
风魔法	fengmofa
乀乀去去去	fufuquququ
复活	fuhuo
扶眼镜	fuyanjing
嘎嘎嘎	gagaga
干杯	ganbei
高实在是高	gaoshizaishigao
告状	gaozhuang
歌啦啦啦	gelalala
跟你说厚	gennishuohou
狗狗	gougou
鼓掌	guzhang
鼓掌鼓掌	guzhangguzhang
咳咳	haihai
含泪挥手帕	hanleihuishoupa
好吧	haoba
好苦	haoku
好香	haoxiang
好主意	haozhuyi
河马	hema
喝西北风彡	hexibeifengsan
黑客帝国下腰	heikediguoxiayao
呼唤	huhuan
呼幸好幸好	huxinghaoxinghao
幻影术	huanyingshu
挥手帕	huishoupa
火箭筒发射皿口口口	huojiantongfasheminkoukoukou
击掌人	jizhangren
金盾	jindun
就你	jiuni
就你好了	jiunihaole
就是他	jiushita
举手	jushou
举手投降	jushoutouxiang
看好你哦	kanhaonio
看我忍者镖卍卍卍卍卍卍	kanworenzhebiaowanwanwanwanwanwan
靠什么东西	kaoshenmedongxi
口口	koukou
苦恼	kunao
困揉眼睛	kunrouyanjing
啦啦啦	lalala
来啊挑衅	laiatiaoxin
来呀挑衅	laiyatiaoxin
冷笑	lengxiao
楞住	lengzhu
脸红掩面	lianhongyanmian
两罐纸星星	liangguanzhixingxing
列队	liedui
铃铃铃	linglingling
没办法	meibanfa
没人在哦	meirenzaio
媚眼	meiyan
咪咪人	mimiren
秘密一一	mimiyiyi
咩哈哈哈哈	miehahahaha
蔑视	mieshi
皿哪里跑	minnalipao
命苦	mingku
膜拜	mobai
摸摸头	momotou
那边那个	nabiannage
你给我回来	nigeiwohuilai
你回来啦	nihuilaila
溺水	nishui
捏耳朵	nieerduo
怕怕爻	papayao
拍手拍手	paishoupaishou
拍桌狂笑	paizhuokuangxiao
丬别走啊	panbiezoua
飘飘然	piaopiaoran
乒乓球	pingpangqiu
起床	qichuang
起床啦	qichuangla
期待	qidai
亲亲	qinqin
去去去	quququ
去下厕厕	quxiacece
人拜佛	renbaifo
人击掌	renjizhang
忍术隐人人	renshuyinrenren
撒花	sahua
散弹发射一	sandanfasheyi
彡彡衰	sansanshuai
闪人	shanren
伤心	shangxin
射箭	shejian
神啊	shena
是不是你	shibushini
石化	shihua
视力表旦呃	shilibiaodane
失落	shiluo
手榴弹	shouliudan
手指戳戳	shouzhichuochuo
手肘戳戳	shouzhouchuochuo
死亡中	siwangzhong
他不起来	tabuqilai
台大鼻子	taidabizi
太好笑了	taihaoxiaole
逃命啊	taominga
讨厌啦	taoyanla
陶醉	taozui
天旋地转	tianxuandizhuan
天助我也彡	tianzhuwoyesan
偷看	toukan
偷拍	toupai
凸艹皿艹	tuaominao
凸皿靠	tuminkao
推推起床啦	tuituiqichuangla
拖走	tuozou
卍超强风扇吹	wanchaoqiangfengshanchui
万岁	wansui
喂饭	weifan
围观	weiguan
吻别	wenbie
我不看	wobukan
我错了	wocuole
我回来啦	wohuilaila
我来了	wolaile
握拳	woquan
我忍	woren
我闪	woshan
无敌	wudi
无敌影分身	wudiyingfenshen
无力扶墙壁	wulifuqiangbi
无奈	wunai
呜呜呜	wuwuwu
无影脚口	wuyingjiaokou
享受	xiangshou
小孩	xiaohai
消失	xiaoshi
小新	xiaoxin
邪恶	xiee
心神不宁	xinshenbuning
欣慰	xinwei
噎死	yesi
噎住	yezhu
一念咒	yinianzhou
一畏罪自杀	yiweizuizisha
隐身	yinshen
鹰钩鼻	yinggoubi
哟西	yoxi
有了	youle
有人吗	yourenma
御风凌	yufengling
运动囧囧囧囧	yundongjiongjiongjiongjiong
糟糕	zaogao
炸弹	zhadan
这个呃	zhegee
振奋	zhenfen
振作	zhenzuo
痣长毛	zhichangmao
皱眉	zhoumei
醉拳口	zuiquankou
