柴静	chaijing
穹顶之下	qiongdingzhixia
打老虎	dalaohu
且行且珍惜	qiexingqiezhenxi
直男	zhinan
半糖夫妻	bantangfuqi
挽尊	wanzun
白骨精	baigujing
软妹子	ruanmeizi
隔壁老王	gebilaowang
小鲜肉	xiaoxianrou
八婆	bapo
正太	zhengtai
逗比	doubi
御姐	yujie
兄贵	xionggui
谢特	xiete
高冷	gaoleng
放水	fangshui
特么	teme
心焦	xinjiao
虾米	xiami
人艰不拆	renjianbuchai
萝莉	luoli
比特币	bitebi
大拿	dana
萌萌哒	mengmengda
死党	sidang
炮灰	paohui
凤凰男	fenghuangnan
作死	zuosi
可耐	kenai
蓝颜知己	lanyanzhiji
粑粑	baba
丁丁	dingding
痴女	chinv
痴汉	chihan
油菜花	youcaihua
大号	dahao
小号	xiaohao
八嘎	baga
白丁	baiding
白富美	baifumei
百合	baihe
斑竹	banzhu
包子	baozi
八卦	bagua
杯具	beiju
备胎	beitai
碧池	bichi
天朝	tianchao
童鞋	tongxie
同志	tongzhi
吐槽	tucao
土豪	tuhao
土豪金	tuhaojin
学霸	xueba
小清新	xiaoqingxin
学渣	xuezha
百搭	baida
蹦迪	bengdi
便当	biandang
菜鸟	cainiao
潮人	chaoren
达人	daren
单身戒指	danshenjiezhi
低腰牛仔裤	diyaoniuzaiku
电子书	dianzishu
电子杂志	dianzizazhi
肚皮舞	dupiwu
恶搞	egao
发烧友	fashaoyou
腹黑	fuhei
干物女	ganwunv
家庭主男	jiatingzhunan
角色扮演	jiaosebanyan|juesebanyan
另类	linglei
裸妆	luozhuang
驴友	lvyou
麦霸	maiba
娘娘腔	niangniangqiang
捧车族	pengchezu
期房	qifang
情侣装	qinglvzhuang
轻小说	qingxiaoshuo
全职妈妈	quanzhimama
热裤	reku
色友	seyou
闪族	shanzu
剩女	shengnv
数独	shudu
水货	shuihuo
思密达	simida
胎教	taijiao
通灵	tongling
同人志	tongrenzhi
透视装	toushizhuang
团购	tuangou
小白	xiaobai
小白脸	xiaobailian
校花	xiaohua
烟熏妆	yanxunzhuang
扎啤	zhapi
白白	baibai
板凳	bandeng
板斧	banfu
本命	benming
博客	boke
残念	cannian
纯净水	chunjingshui
大虾	daxia
耽美	danmei
地板	diban
粉丝	fensi
灌水	guanshui
鬼畜	guichu
果酱	guojiang
好康	haokang
轰杀	hongsha
几楼的	jiloude
酱紫	jiangzi
姐贵	jiegui
剧场版	juchangban
恐龙	konglong
狼族	langzu
老大	laoda
雷倒	leidao
蕾丝	leisi
楼上的	loushangde
楼主	louzhu
路过	luguo
马甲	majia
美眉	meimei
木有	muyou
年下攻	nianxiagong
女王	nvwang
欧巴桑	oubasang
偶滴	oudi
拍砖头	paizhuantou
抛砖	paozhuan
潜水	qianshui
犬科	quanke
人参公鸡	renshengongji
日泛儿	rifaner
扫楼	saolou
沙发	shafa
刷屏	shuaping
水蒸气	shuizhengqi
踢一脚	tiyijiao
调教	tiaojiao
同人	tongren
王道	wangdao
我顶	woding
稀饭	xifan
小强	xiaoqiang
椅子	yizi
幼齿	youchi
油墨	youmo
诱受	youshou
正太攻	zhengtaigong
抓狂	zhuakuang
总攻	zonggong
西斯	xisi
推推	tuitui
大雷	dalei
科科	keke
嘴炮	zuipao
中枪	zhongqiang
阿宅	azhai
脑残	naocan
唉唉	aiai
大哭	daku
拍拍	paipai
大嘘	daxu
啧啧	zeze
停车做爱	tingchezuoai
总受	zongshou
妹抖	meidou
触手	chushou
卖萌	maimeng
卖蠢	maichun
天然呆	tianrandai
工口	gongkou
大叔	dashu
关西腔	guanxiqiang
呆毛	daimao
傲娇	aojiao
口癖	koupi
热血	rexue
黑化	heihua
病娇	bingjiao
王尼玛	wangnima
表酱紫	biaojiangzi
碉堡了	diaobaole
去屎	qushi
暴走漫画	baozoumanhua
暴走日报	baozouribao
蓝翔	lanxiang
爱屋及乌	aiwujiwu
拜拜了	baibaile
半斤八两	banjinbaliang
搬弄是非	bannongshifei
帮帮我	bangbangwo
笨啊	bena
鄙视你	bishini
闭嘴	bizui
变态	biantai
表里不一	biaolibuyi
别担心	biedanxin
别挡路	biedanglu
别烦我	biefanwo
别惹我	bierewo
别傻了	bieshale
别有企图	bieyouqitu
不对啊	buduia
不干吗	buganma
不管了	buguanle
不管用	buguanyong
不好了	buhaole
不会是真的吧	buhuishizhendeba
不见不散	bujianbusan
不见得	bujiande
不可能	bukeneng
不冷了	bulengle
不理你	bulini
不理你了	bulinile
不明白	bumingbai
不怕不怕	bupabupa
不清楚	buqingchu
不确定	buqueding
不识抬举	bushitaiju
不想回家	buxianghuijia
不想说	buxiangshuo
不要啊	buyaoa
不一定	buyiding
猜猜看	caicaikan
长话短说	changhuaduanshuo
成交	chengjiao
吃饱了	chibaole
吃饭了吗	chifanlema
吃饭去	chifanqu
吃了吗	chilema
错过了	cuoguole
打包袋	dabaodai
胆小鬼	danxiaogui
当然了	dangranle
邓欣	dengxin
等着瞧	dengzheqiao
电话联系	dianhualianxi
掉线了	diaoxianle
都是我的错	doushiwodecuo
对不起	duibuqi
对天发誓	duitianfashi
多少钱	duoshaoqian
发现	faxian
反反复复	fanfanfufu
方斌	fangbin
放假了	fangjiale
放心	fangxin
废话	feihua
分手吧	fenshouba
分手了	fenshoule
浮云	fuyun
干杯	ganbei
干得好	gandehao
干嘛	ganma
干吗呢	ganmane
干嘛呢	ganmane
刚吃完	gangchiwan
跟我来	genwolai
恭喜恭喜	gongxigongxi
够了	goule
狗屎运	goushiyun
拐弯抹角	guaiwanmojiao
哈哈哈哈哈	hahahahaha
还不知道呢	haibuzhidaone
还好啦	haihaola
还记得吗	haijidema
还记得我吗	haijidewoma
还没	haimei
好吧	haoba
好点了	haodianle
好伙伴	haohuoban
好家伙	haojiahuo
好姐姐	haojiejie
好久不见	haojiubujian
好卡	haoka
好卡啊	haokaa
好漂亮	haopiaoliang
好听吗	haotingma
好无聊	haowuliao
好想回家	haoxianghuijia
薅羊毛	haoyangmao
和你一样	heniyiyang
黑白之间	heibaizhijian
嘿嘿嘿	heiheihei
很好啊	henhaoa
很好玩	henhaowan
很无聊	henwuliao
胡闹	hunao
花痴	huachi
画蛇添足	huashetianzu
回答我	huidawo
会好的	huihaode
获得成功	huodechenggong
急死我了	jisiwole
继续	jixu
加油吧	jiayouba
节日快乐	jierikuaile
尽力而为	jinlierwei
今天不上班	jintianbushangban
精彩	jingcai
劲舞团	jingwutuan
就那样吧	jiunayangba
就是	jiushi
就是这样	jiushizheyang
就是这样的	jiushizheyangde
就这样吧	jiuzheyangba
卡了	kale
看不到	kanbudao
看不清	kanbuqing
看着办	kanzheban
可惜了	kexile
可以啦	keyila
肯定了	kendingle
来吧	laiba
老婆我爱你	laopowoaini
老实说	laoshishuo
累了吧	leileba
累死了	leisile
李伟杰	liweijie
两全其美	liangquanqimei
另外	lingwai
慢慢来	manmanlai
忙什么	mangshenme
没办法了	meibanfale
没风度	meifengdu
没关系	meiguanxi
没明白	meimingbai
没钱啊	meiqiana
没钱了	meiqianle
没日没夜	meirimeiye
没时间了	meishijianle
没完没了	meiwanmeiliao
没问题	meiwenti
每一天	meiyitian
没有人知道	meiyourenzhidao
没有用	meiyouyong
妹纸	meizhi
免了吧	mianleba
末班车	mobanche
那行	naxing
那就是	najiushi
那就这样吧	najiuzheyangba
那是什么	nashishenme
那也是	nayeshi
哪有	nayou
那又怎样	nayouzenyang
那怎么	nazenme
奶奶的	nainaide
难啊	nana
能人	nengren
你别管	nibieguan
你不理我了	nibuliwole
你不认识我	niburenshiwo
你不知道吗	nibuzhidaoma
你的电话	nidedianhua
你的名字	nidemingzi
你的朋友	nidepengyou
你懂吗	nidongma
你敢吗	niganma
你好	nihao
你好朋友	nihaopengyou
你叫什么名字	nijiaoshenmemingzi
你觉得呢	nijuedene
尼玛	nima
你没有	nimeiyou
你去看看	niqukankan
你谁呀	nishuiya
你生气了	nishengqile
你是哪个	nishinage
你是哪里人	nishinaliren
你说了算	nishuolesuan
你太有才了	nitaiyoucaile
你听	niting
你喜欢吗	nixihuanma
你喜欢我吗	nixihuanwoma
你现在还好吗	nixianzaihaihaoma
