温病	wenbing
营业税	yingyeshui
吉大	jida
青艺	qingyi
纳税人	nashuiren
学童	xuetong
获颁	huoban
商检	shangjian
精油	jingyou
全国人大	quanguorenda
中国	zhongguo
宇航	yuhang
西安交大	xianjiaoda
土军	tujun
调控	tiaokong
食疗	shiliao
昆腔	kunqiang
护肤	hufu
杜诗	dushi
职教	zhijiao
送评	songping
义工	yigong
商检局	shangjianju
欧足联	ouzulian
持平	chiping
环保法	huanbaofa
热工	regong
劳动管理	laodongguanli
珍稀	zhenxi
便民	bianmin
中纺大	zhongfangda
私交	sijiao
制宪	zhixian
超储	chaochu
平调	pingdiao
美联储	meilianchu
创议	chuangyi
交投	jiaotou
脱困	tuokun
中试	zhongshi
捷运	jieyun
军品	junpin
浮动价格	fudongjiage
二炮	erpao
特展	tezhan
公关	gongguan
国家民委	guojiaminwei
话机	huaji
海空	haikong
陆航	luhang
整改	zhenggai
金市	jinshi
师院	shiyuan
全国青联	quanguoqinglian
电教室	dianjiaoshi
报刊	baokan
文史	wenshi
中小	zhongxiao
契税	qishui
射频	shepin
评委	pingwei
名校	mingxiao
田径	tianjing
三产	sanchan
煽惑	shanhuo
航母	hangmu
土建	tujian
政审	zhengshen
奥体	aoti
色温	sewen
水电	shuidian
人民政协	renminzhengxie
保单	baodan
校注	jiaozhu
社教部	shejiaobu
法队	fadui
纪委	jiwei
拓边	tuobian
特供	tegong
投建	toujian
皮肌	piji
北影	beiying
外军	waijun
纯善	chunshan
煤化工	meihuagong
色斑	seban
日航	rihang
平交	pingjiao
现代舞	xiandaiwu
病退	bingtui
国统	guotong
直选	zhixuan
天启	tianqi
联产	lianchan
日用品	riyongpin
片库	pianku
空港	konggang
物贸	wumao
衣裤	yiku
牙石	yashi
植保	zhibao
储运	chuyun
招录	zhaolu
彩扩	caikuo
唯物史观	weiwushiguan
停牌	tingpai
外院	waiyuan
空战	kongzhan
内存	neicun
限速	xiansu
名片	mingpian
总政	zongzheng
期指	qizhi
名厨	mingchu
工联	gonglian
牡丹卡	mudanka
严管	yanguan
航速	hangsu
自由区	ziyouqu
经合组织	jinghezuzhi
资讯	zixun
总后	zonghou
电控	diankong
军贸	junmao
邮市	youshi
院办	yuanban
政制	zhengzhi
监销	jianxiao
高校	gaoxiao
上音	shangyin
首钢	shougang
减资	jianzi
减亏	jiankui
彩电	caidian
排犹	paiyou
外联部	wailianbu
耗能	haoneng
曲论	qulun
彩扩机	caikuoji
警备	jingbei
实测	shice
轮训	lunxun
国土局	guotuju
经贸大学	jingmaodaxue
内参	neican
税票	shuipiao
军婚	junhun
联大	lianda
内宾	neibin
新股	xingu
超市	chaoshi
体彩	ticai
裂伤	lieshang
被装	beizhuang
三轮	sanlun
报考	baokao
编译	bianyi
计量局	jiliangju
苏菜	sucai
韩商	hanshang
花市	huashi
讲习	jiangxi
展销会	zhanxiaohui
和约	heyue
抬价	taijia
首信	shouxin
蒙汉	menghan
中共中央	zhonggongzhongyang
炮院	paoyuan
整训	zhengxun
修护	xiuhu
跌势	dieshi
经互会	jinghuhui
直供	zhigong
东航	donghang
高新	gaoxin
面瘫	miantan
地产	dichan
应化	yinghua
男服	nanfu
法援	fayuan
海榴	hailiu
指婚	zhihun
血防	xuefang
欧共体	ougongti
解痉	jiejing
资信	zixin
家纺	jiafang
督导	dudao
平战	pingzhan
火器伤	huoqishang
财税	caishui
制程	zhicheng
海航	haihang
贸委会	maoweihui
总工	zonggong
法国	faguo
合练	helian
航路	hanglu
化工大	huagongda
华裔	huayi
奥赛	aosai
二轻	erqing
罪因	zuiyin
运势	yunshi
干群	ganqun
待业	daiye
物价局	wujiaju
影帝	yingdi
海科	haike
本钢	bengang
超限	chaoxian
春麦	chunmai
联名	lianming
一百	yibai
复旦	fudan
影后	yinghou
运管	yunguan
评介	pingjie
亚太	yatai
电大	dianda
上铁	shangtie
困斗	kundou
内战	neizhan
一小	yixiao
一中	yizhong
首航	shouhang
反标	fanbiao
审稿	shengao
加航	jiahang
澳航	aohang
