拜拜了	baibaile
半斤八两	banjinbaliang
搬弄是非	bannongshifei
帮帮我	bangbangwo
笨啊	bena
鄙视你	bishini
闭嘴	bizui
变态	biantai
表里不一	biaolibuyi
别担心	biedanxin
别挡路	biedanglu
别烦我	biefanwo
别惹我	bierewo
别傻了	bieshale
别有企图	bieyouqitu
不对啊	buduia
不干吗	buganma
不管了	buguanle
不管用	buguanyong
不好了	buhaole
不会是真的吧	buhuishizhendeba
不见不散	bujianbusan
不见得	bujiande
不可能	bukeneng
不冷了	bulengle
不理你	bulini
不理你了	bulinile
不明白	bumingbai
不怕不怕	bupabupa
不清楚	buqingchu
不确定	buqueding
不识抬举	bushitaiju
不想回家	buxianghuijia
不想说	buxiangshuo
不要啊	buyaoa
不一定	buyiding
猜猜看	caicaikan
长话短说	changhuaduanshuo
成交	chengjiao
吃饱了	chibaole
吃饭了吗	chifanlema
吃饭去	chifanqu
吃了吗	chilema
错过了	cuoguole
打包袋	dabaodai
胆小鬼	danxiaogui
当然了	dangranle
邓欣	dengxin
等着瞧	dengzheqiao
电话联系	dianhualianxi
掉线了	diaoxianle
都是我的错	doushiwodecuo
对不起	duibuqi
对天发誓	duitianfashi
多少钱	duoshaoqian
发现	faxian
反反复复	fanfanfufu
方斌	fangbin
放假了	fangjiale
放心	fangxin
废话	feihua
分手吧	fenshouba
分手了	fenshoule
浮云	fuyun
干杯	ganbei
干得好	gandehao
干嘛	ganma
干吗呢	ganmane
干嘛呢	ganmane
刚吃完	gangchiwan
跟我来	genwolai
恭喜恭喜	gongxigongxi
够了	goule
狗屎运	goushiyun
拐弯抹角	guaiwanmojiao
哈哈哈哈哈	hahahahaha
还不知道呢	haibuzhidaone
还好啦	haihaola
还记得吗	haijidema
还记得我吗	haijidewoma
还没	haimei
好吧	haoba
好点了	haodianle
好伙伴	haohuoban
好家伙	haojiahuo
好姐姐	haojiejie
好久不见	haojiubujian
好卡	haoka
好卡啊	haokaa
好漂亮	haopiaoliang
好听吗	haotingma
好无聊	haowuliao
好想回家	haoxianghuijia
薅羊毛	haoyangmao
和你一样	heniyiyang
黑白之间	heibaizhijian
嘿嘿嘿	heiheihei
很好啊	henhaoa
很好玩	henhaowan
很无聊	henwuliao
胡闹	hunao
花痴	huachi
画蛇添足	huashetianzu
回答我	huidawo
会好的	huihaode
获得成功	huodechenggong
急死我了	jisiwole
继续	jixu
加油吧	jiayouba
节日快乐	jierikuaile
尽力而为	jinlierwei
今天不上班	jintianbushangban
精彩	jingcai
劲舞团	jingwutuan
就那样吧	jiunayangba
就是这样的	jiushizheyangde
就这样吧	jiuzheyangba
卡了	kale
看着办	kanzheban
可惜了	kexile
可以啦	keyila
肯定了	kendingle
来吧	laiba
老婆我爱你	laopowoaini
老实说	laoshishuo
累了吧	leileba
累死了	leisile
李伟杰	liweijie
两全其美	liangquanqimei
另外	lingwai
慢慢来	manmanlai
没办法了	meibanfale
没风度	meifengdu
没关系	meiguanxi
没明白	meimingbai
没钱啊	meiqiana
没钱了	meiqianle
没日没夜	meirimeiye
没时间了	meishijianle
没完没了	meiwanmeiliao
没问题	meiwenti
每一天	meiyitian
没有人知道	meiyourenzhidao
没有用	meiyouyong
妹纸	meizhi
免了吧	mianleba
末班车	mobanche
木有	muyou
那行	naxing
那就是	najiushi
那就这样吧	najiuzheyangba
那是什么	nashishenme
那也是	nayeshi
哪有	nayou
那又怎样	nayouzenyang
那怎么	nazenme
奶奶的	nainaide
难啊	nana
能人	nengren
你别管	nibieguan
你不理我了	nibuliwole
你不认识我	niburenshiwo
你不知道吗	nibuzhidaoma
你的电话	nidedianhua
你的名字	nidemingzi
你的朋友	nidepengyou
你懂吗	nidongma
你敢吗	niganma
你好	nihao
你好朋友	nihaopengyou
你叫什么名字	nijiaoshenmemingzi
你觉得呢	nijuedene
你没有	nimeiyou
你去看看	niqukankan
你谁呀	nishuiya
你生气了	nishengqile
你是哪个	nishinage
你是哪里人	nishinaliren
你说了算	nishuolesuan
你太有才了	nitaiyoucaile
你听	niting
你喜欢吗	nixihuanma
你喜欢我吗	nixihuanwoma
你现在还好吗	nixianzaihaihaoma
你笑什么	nixiaoshenme
你也来了	niyelaile
你也一样	niyeyiyang
你以为呢	niyiweine
你有	niyou
你怎么来了	nizenmelaile
你怎么知道	nizenmezhidao
你找我	nizhaowo
你真聪明	nizhencongming
你真好	nizhenhao
你争我夺	nizhengwoduo
你知道的	nizhidaode
你知道什么	nizhidaoshenme
你走吧	nizouba
年月日时分	nianyuerishifen
牛啊	niua
怕怕	papa
痞子	pizi
骗你是小狗	piannishixiaogou
偏心	pianxin
气死你	qisini
岂有此理	qiyoucili
亲爱的	qinaide
请便	qingbian
求包养	qiubaoyang
去死吧	qusiba
然后呢	ranhoune
让我来	rangwolai
人不在	renbuzai
散散心	sansanxin
傻逼	shabi
神经病	shenjingbing
神马	shenma
什么都可以	shenmedoukeyi
什么时候	shenmeshihou
时过境迁	shiguojingqian
是你呀	shiniya
是什么意思	shishenmeyisi
是这个	shizhege
是这样	shizheyang
是这样吗	shizheyangma
书呆子	shudaizi
耍大牌	shuadapai
爽啊	shuanga
睡觉了	shuijiaole
说好了	shuohaole
说来话长	shuolaihuachang
死胡同	sihutong
算了	suanle
随便你	suibianni
太黑了	taiheile
太远了	taiyuanle
讨厌	taoyan
特写镜头	texiejingtou
替天行道	titianxingdao
挺好啊	tinghaoa
听见了吗	tingjianlema
晚安	wanan
玩得开心	wandekaixin
网络不好	wangluobuhao
王妹妹	wangmeimei
为什么呢	weishenmene
问你个事	wennigeshi
我爱死你了	woaisinile
我不觉得	wobujuede
我不认识你	woburenshini
我不在乎	wobuzaihu
我出去了	wochuqule
我错了	wocuole
我等你	wodengni
我懂	wodong
我饿了	woele
我跟你说	wogennishuo
我害怕	wohaipa
我好烦	wohaofan
我好累	wohaolei
我好想你	wohaoxiangni
我很好	wohenhao
我很忙	wohenmang
我很想你	wohenxiangni
我怀疑	wohuaiyi
我会好好的	wohuihaohaode
我回来了	wohuilaile
我会想你的	wohuixiangnide
我就是	wojiushi
我就是我	wojiushiwo
我拒绝	wojujue
我哭了	wokule
我来也	wolaiye
我老了	wolaole
我累了	woleile
我没钱了	womeiqianle
我没有	womeiyou
我没有想过	womeiyouxiangguo
我去了	woqule
我去找你	woquzhaoni
我生气了	woshengqile
我是男的	woshinande
我是人	woshiren
我是谁啊	woshishuia
我是王	woshiwang
我受不了	woshoubuliao|woshoubule
我问你	wowenni
我无所谓	wowusuowei
我喜欢你	woxihuanni
我想飞	woxiangfei
我想你了	woxiangnile
我想起来了	woxiangqilaile
我相信你	woxiangxinni
我心情不好	woxinqingbuhao
我要你	woyaoni
我要睡觉了	woyaoshuijiaole
我要走了	woyaozoule
我也爱你	woyeaini
我也是	woyeshi
我有了	woyoule
我又怎么了	woyouzenmele
我怎么不知道	wozenmebuzhidao
我找到了	wozhaodaole
我做主	wozuozhu
午安	wuan
无耻	wuchi
无聊啊	wuliaoa
无聊死了	wuliaosile
勿失良机	wushiliangji
无所谓	wusuowei
无语了	wuyule
洗白白	xibaibai
洗耳恭听	xiergongting
先到先得	xiandaoxiande
想你了	xiangnile
相信我	xiangxinwo
小机灵鬼	xiaojilinggui
小凯	xiaokai
小气鬼	xiaoqigui
谢谢你了	xiexienile
信不信由你	xinbuxinyouni
心照不宣	xinzhaobuxuan
行啊	xinga
兄弟啊	xiongdia
休息	xiuxi
休想	xiuxiang
学习中	xuexizhong
言归正传	yanguizhengzhuan|yanguizhengchuan
杨晓璐	yangxiaolu
要啊	yaoa
也好啊	yehaoa
一视同仁	yishitongren
意想不到	yixiangbudao
一言难尽	yiyannanjin
一言为定	yiyanweiding
又来了	youlaile
有没有	youmeiyou
油漆未干	youqiweigan
有人吗	yourenma
有事烧纸	youshishaozhi
游戏中	youxizhong
有眼光	youyanguang
有一天	youyitian
幼稚	youzhi
原来如此	yuanlairuci
在北京	zaibeijing
再见	zaijian
再联络	zailianluo
在上海	zaishanghai
再说	zaishuo
赞成	zancheng
早安	zaoan
早上好	zaoshanghao
阿斯顿马丁	asidunmading
