安吉竹鸡	anjizhuji
奥灶面	aozaomian
八宝船鸭	babaochuanya
八宝饭	babaofan
八宝葫芦鸭	babaohuluya
八宝辣酱	babaolajiang
巴肺汤	bafeitang
扒牛肉条	baniuroutiao
扒烧整猪头	bashaozhengzhutou
拔丝白薯球	basibaishuqiu
拔丝金枣	basijinzao
霸王别姬	bawangbieji
扒原壳鲍鱼	bayuankebaoyu
白扒四宝	baibasibao
白的虾	baidexia
白糕	baigao
百花鱼肚	baihuayudu
百鸟朝凤	bainiaochaofeng
白头翁饧	baitouwengtang
百味鸡	baiweiji
柏溪潮糕	baixichaogao
白雪鸡	baixueji
白油豆腐	baiyoudoufu
白斩鸡	baizhanji
白汁圆菜	baizhiyuancai
白汁元鱼	baizhiyuanyu
白灼虾	baizhuoxia
板栗烧菜心	banlishaocaixin
板鸭	banya
板炸虾串	banzhaxiachuan
板炸芝麻虾	banzhazhimaxia
班指干贝	banzhiganbei
棒棒鸡	bangbangji
爆炒地猴	baochaodihou
爆炒血鸭	baochaoxueya
爆墨鱼	baomoyu
爆三样	baosanyang
爆双脆	baoshuangcui
碧螺虾仁	biluoxiaren
碧绿椒麻桂鱼	bilvjiaomaguiyu
扁肉燕	bianrouyan
冰糖甲鱼	bingtangjiayu
冰糖湘莲	bingtangxianglian
冰醉豆花	bingzuidouhua
钵钵鸡	boboji
菠萝鱼	boluoyu
布袋鸡	budaiji
藏书羊肉	cangshuyangrou
叉烤桂鱼	chakaoguiyu
叉烤乳猪	chakaoruzhu
叉烤鸭	chakaoya
茶宴	chayan
拆烩鲢鱼头	chaihuilianyutou
长沙麻仁香酥鸭	changshamarenxiangsuya
长寿面	changshoumian
炒苦瓜	chaokugua
炒马齿苋	chaomachixian
炒马蓝草	chaomalancao
炒木锦花	chaomujinhua
炒沙茶牛肉	chaoshachaniurou
潮式肠粉	chaoshichangfen
炒虾蟹	chaoxiaxie
炒鲜花菇	chaoxianhuagu
炒血鸭	chaoxueya
炒珍肝	chaozhengan
潮州卤水拼盘	chaozhoulushuipinpan
潮州牛肉丸	chaozhouniurouwan
陈皮兔丁	chenpituding
蛏干烧肉	chengganshaorou
豉椒烧白鳝	chijiaoshaobaishan
池塘莲花	chitanglianhua
虫草柴把鸭	chongcaochaibaya
川北凉粉	chuanbeiliangfen
川北米粉	chuanbeimifen
串串香	chuanchuanxiang
船点	chuandian
船拐子肉	chuanguaizirou
川式粉蒸肉	chuanshifenzhengrou
川式香肠	chuanshixiangchang
炊太极虾	chuitaijixia
莼菜塘鱼片	chuncaitangyupian
莼菜银鱼汤	chuncaiyinyutang
葱姜炒蟹	congjiangchaoxie
葱椒鸡	congjiaoji
葱烧孤雁	congshaoguyan
葱烧海参	congshaohaishen
葱烧蹄筋	congshaotijin
葱油鲤鱼	congyouliyu
醋椒鱼	cujiaoyu
醋焖鸡三件	cumenjisanjian
醋烹对虾	cupengduixia
脆黄瓜	cuihuanggua
达县灯影牛肉	daxiandengyingniurou
大煮干丝	dazhugansi
带子上朝	daizishangchao
担担面	dandanmian
蛋烘糕	danhonggao
蛋烧卖	danshaomai
蛋石衣	danshiyi
淡糟鲜竹蛏	danzaoxianzhucheng
淡糟香螺片	danzaoxiangluopian
当归牛腩	dangguiniunan
当归獐肉	dangguizhangrou
德州扒鸡	dezhoupaji
灯影牛肉	dengyingniurou
第板栗煨鸡	dibanliweiji
地锅草鸡	diguocaoji
帝王粥	diwangzhou
丁丁糖	dingdingtang
东安鸡	donganji
东安子鸡	donganziji
冻粉拌鸡丝	dongfenbanjisi
冬瓜煲	dongguabao
冬瓜四灵	dongguasiling
冬瓜薏米煲鸭	dongguayimibaoya
东江酿豆付	dongjiangniangdoufu
东江盐焗鸡	dongjiangyanjuji
东譬龙珠	dongpilongzhu
东坡回赠肉	dongpohuizengrou
东坡墨鱼	dongpomoyu
东坡肉	dongporou
东坡肘子	dongpozhouzi
冬笋炒底	dongsunchaodi
冬笋腊肉	dongsunlarou
洞庭金龟	dongtingjingui
豆瓣虾	doubanxia
豆腐花	doufuhua
豆腐箱	doufuxiang
豆荚炒腊肉	doujiachaolarou
豆酱鸡	doujiangji
豆椒焗膏蟹	doujiaojugaoxie
豆椒排骨	doujiaopaigu
豆椒肉丝	doujiaorousi
炖菜核	duncaihe
炖禾虫	dunhechong
剁椒蒸鮰鱼	duojiaozhenghuiyu
发丝牛百页	fasiniubaiye
番瓜汤	fanguatang
番瓜饧	fanguatang
番薯粥	fanshuzhou
方腊鱼	fanglayu
肥肠粉	feichangfen
肺片锅盔	feipianguokui
粉蒸牛肉	fenzhengniurou
凤炖牡丹	fengdunmudan
奉化芋头	fenghuayutou
风萝卜蹄花汤	fengluobotihuatang
凤尾虾	fengweixia
蜂窝莲子	fengwolianzi
丰县苹果	fengxianpingguo
凤眼螺片	fengyanluopian
佛手排骨	foshoupaigu
佛跳墙	fotiaoqiang
富春江鲥鱼	fuchunjiangshiyu
符离集烧鸡	fulijishaoji
夫妻肺片	fuqifeipian
芙蓉鸡片	furongjipian
芙蓉鲤鱼	furongliyu
芙蓉三鲜鱼丸	furongsanxianyuwan
芙蓉乌鱼片	furongwuyupian
芙蓉虾	furongxia
芙蓉虾塔	furongxiata
富顺豆花	fushundouhua
伏羲八卦宴	fuxibaguayan
浮油鸡片	fuyoujipian
福州鱼丸	fuzhouyuwan
干煸牛肉丝	ganbianniurousi
干煸鳝片	ganbianshanpian
干菜焖肉	gancaimenrou
干煽牛肉丝	ganshanniurousi
干烧桂鱼	ganshaoguiyu
干烧岩鲤	ganshaoyanli
干炸鳅鱼	ganzhaqiuyu
干炸虾枣	ganzhaxiazao
干炸响铃	ganzhaxiangling
干蒸活鱼	ganzhenghuoyu
皋火腿	gaohuotui
高梁粟	gaoliangsu
高邮麻鸭	gaoyoumaya
蛤蜊黄鱼羹	gelihuangyugeng
宫保鸡丁	gongbaojiding
狗肉煲	gouroubao
狗爪豆	gouzhaodou
咕咾肉	gulaorou
古沛郭家烧鸡	gupeiguojiashaoji
古邳粥	gupizhou
挂霜白果	guashuangbaiguo
怪味鸡	guaiweiji
怪味鸡块	guaiweijikuai
怪味兔头	guaiweitutou
罐焖八仙	guanmenbaxian
广汉缠丝兔	guanghanchansitu
广式烧填鸭	guangshishaotianya
广州文昌鸡	guangzhouwenchangji
龟打	guida
桂花蹄筋	guihuatijin
桂花楂糕	guihuazhagao
龟羊汤	guiyangtang
锅巴肉片	guobaroupian
锅边糊	guobianhu
锅烧鳗	guoshaoman
锅烧肘子	guoshaozhouzi
海参扒肘子	haishenbazhouzi
海参盆蒸	haishenpenzheng
海参蒸盆	haishenzhengpen
海棠冬菇	haitangdonggu
海星玉笋	haixingyusun
韩包子	hanbaozi
杭州煨鸡	hangzhouweiji
杭州油乡豆腐皮	hangzhouyouxiangdoufupi
蚝皇凤爪	haohuangfengzhao
蚝烙	haolao
荷包豆腐	hebaodoufu
荷花铁雀	hehuatieque
荷花鱼肚	hehuayudu
合江烤鱼	hejiangkaoyu
合浦还珠	hepuhuanzhu
