阿克苏职业技术学院	akesuzhiyejishuxueyuan
安徽财经大学	anhuicaijingdaxue
安徽财贸职业学院	anhuicaimaozhiyexueyuan
安徽城市管理职业学院	anhuichengshiguanlizhiyexueyuan
安徽大学	anhuidaxue
安徽电气工程职业技术学院	anhuidianqigongchengzhiyejishuxueyuan
安徽电子信息职业技术学院	anhuidianzixinxizhiyejishuxueyuan
安徽公安职业学院	anhuigonganzhiyexueyuan
安徽工贸职业技术学院	anhuigongmaozhiyejishuxueyuan
安徽工商职业学院	anhuigongshangzhiyexueyuan
安徽工业大学	anhuigongyedaxue
安徽工业经济职业技术学院	anhuigongyejingjizhiyejishuxueyuan
安徽广播影视职业技术学院	anhuiguangboyingshizhiyejishuxueyuan
安徽机电职业技术学院	anhuijidianzhiyejishuxueyuan
安徽交通职业技术学院	anhuijiaotongzhiyejishuxueyuan
安徽警官职业学院	anhuijingguanzhiyexueyuan
安徽理工大学	anhuiligongdaxue
安徽林业职业技术学院	anhuilinyezhiyejishuxueyuan
安徽农业大学	anhuinongyedaxue
安徽涉外经济职业学院	anhuishewaijingjizhiyexueyuan
安徽审计职业学院	anhuishenjizhiyexueyuan
安徽师范大学	anhuishifandaxue
安徽水利水电职业技术学院	anhuishuilishuidianzhiyejishuxueyuan
安徽体育运动职业技术学院	anhuitiyuyundongzhiyejishuxueyuan
安徽新华学院	anhuixinhuaxueyuan
安徽冶金科技职业学院	anhuiyejinkejizhiyexueyuan
安徽医科大学	anhuiyikedaxue
安徽艺术职业学院	anhuiyishuzhiyexueyuan
安徽医学高等专科学校	anhuiyixuegaodengzhuankexuexiao
安徽邮电职业技术学院	anhuiyoudianzhiyejishuxueyuan
安徽职业技术学院	anhuizhiyejishuxueyuan
安徽中澳科技职业学院	anhuizhongaokejizhiyexueyuan
安徽中医药高等专科学校	anhuizhongyiyaogaodengzhuankexuexiao
安康学院	ankangxueyuan
安康职业技术学院	ankangzhiyejishuxueyuan
鞍山师范学院	anshanshifanxueyuan
安顺职业技术学院	anshunzhiyejishuxueyuan
安阳工学院	anyanggongxueyuan
安阳师范学院	anyangshifanxueyuan
白城师范学院	baichengshifanxueyuan
白城医学高等专科学校	baichengyixuegaodengzhuankexuexiao
百色学院	baisexueyuan
百色职业学院	baisezhiyexueyuan
保定电力职业技术学院	baodingdianlizhiyejishuxueyuan
宝鸡文理学院	baojiwenlixueyuan
宝鸡职业技术学院	baojizhiyejishuxueyuan
保山中医药高等专科学校	baoshanzhongyiyaogaodengzhuankexuexiao
包头钢铁职业技术学院	baotougangtiezhiyejishuxueyuan
包头轻工职业技术学院	baotouqinggongzhiyejishuxueyuan
包头职业技术学院	baotouzhiyejishuxueyuan
保险职业学院	baoxianzhiyexueyuan
北方工业大学	beifanggongyedaxue
北方民族大学	beifangminzudaxue
北海职业学院	beihaizhiyexueyuan
北华大学	beihuadaxue
北华航天工业学院	beihuahangtiangongyexueyuan
北京财贸职业学院	beijingcaimaozhiyexueyuan
北京城市学院	beijingchengshixueyuan
北京大学	beijingdaxue
北京第二外国语学院	beijingdierwaiguoyuxueyuan
北京电影学院	beijingdianyingxueyuan
北京电子科技学院	beijingdianzikejixueyuan
北京服装学院	beijingfuzhuangxueyuan
北京工商大学	beijinggongshangdaxue
北京工业大学	beijinggongyedaxue
北京工业职业技术学院	beijinggongyezhiyejishuxueyuan
北京航空航天大学	beijinghangkonghangtiandaxue
北京化工大学	beijinghuagongdaxue
北京汇佳职业学院	beijinghuijiazhiyexueyuan
北京机械工业学院	beijingjixiegongyexueyuan
北京建筑大学	beijingjianzhudaxue
北京建筑工程学院	beijingjianzhugongchengxueyuan
北京交通大学	beijingjiaotongdaxue
北京交通职业技术学院	beijingjiaotongzhiyejishuxueyuan
北京京北职业技术学院	beijingjingbeizhiyejishuxueyuan
北京警察学院	beijingjingchaxueyuan
北京经济管理职业学院	beijingjingjiguanlizhiyexueyuan
北京经贸职业学院	beijingjingmaozhiyexueyuan
北京科技大学	beijingkejidaxue
北京科技经营管理学院	beijingkejijingyingguanlixueyuan
北京科技职业学院	beijingkejizhiyexueyuan
北京劳动保障职业学院	beijinglaodongbaozhangzhiyexueyuan
北京理工大学	beijingligongdaxue
北京联合大学	beijinglianhedaxue
北京林业大学	beijinglinyedaxue
北京农学院	beijingnongxueyuan
北京农业职业学院	beijingnongyezhiyexueyuan
北京培黎职业学院	beijingpeilizhiyexueyuan
北京青年政治学院	beijingqingnianzhengzhixueyuan
北京师范大学	beijingshifandaxue
北京石油化工学院	beijingshiyouhuagongxueyuan
北京体育大学	beijingtiyudaxue
北京外国语大学	beijingwaiguoyudaxue
北京舞蹈学院	beijingwudaoxueyuan
北京物资学院	beijingwuzixueyuan
北京协和医学院	beijingxieheyixueyuan
北京信息工程学院	beijingxinxigongchengxueyuan
北京信息科技大学	beijingxinxikejidaxue
北京印刷学院	beijingyinshuaxueyuan
北京邮电大学	beijingyoudiandaxue
北京政法职业学院	beijingzhengfazhiyexueyuan
北京中医药大学	beijingzhongyiyaodaxue
蚌埠学院	bengbuxueyuan
蚌埠医学院	bengbuyixueyuan
滨州学院	binzhouxueyuan
滨州医学院	binzhouyixueyuan
滨州职业学院	binzhouzhiyexueyuan
渤海船舶职业学院	bohaichuanbozhiyexueyuan
渤海大学	bohaidaxue
渤海石油职业学院	bohaishiyouzhiyexueyuan
沧州医学高等专科学校	cangzhouyixuegaodengzhuankexuexiao
长安大学	changandaxue
长春大学	changchundaxue
长春东方职业学院	changchundongfangzhiyexueyuan
长春工程学院	changchungongchengxueyuan
长春工业大学	changchungongyedaxue
长春金融高等专科学校	changchunjinronggaodengzhuankexuexiao
长春理工大学	changchunligongdaxue
长春汽车工业高等专科学校	changchunqichegongyegaodengzhuankexuexiao
长春师范大学	changchunshifandaxue
长春医学高等专科学校	changchunyixuegaodengzhuankexuexiao
长春职业技术学院	changchunzhiyejishuxueyuan
长春中医药大学	changchunzhongyiyaodaxue
常德职业技术学院	changdezhiyejishuxueyuan
昌吉学院	changjixueyuan
昌吉职业技术学院	changjizhiyejishuxueyuan
长江大学	changjiangdaxue
长江工程职业技术学院	changjianggongchengzhiyejishuxueyuan
长江师范学院	changjiangshifanxueyuan
长江职业学院	changjiangzhiyexueyuan
长沙电力职业技术学院	changshadianlizhiyejishuxueyuan
长沙航空职业技术学院	changshahangkongzhiyejishuxueyuan
长沙理工大学	changshaligongdaxue
长沙民政职业技术学院	changshaminzhengzhiyejishuxueyuan
长沙南方职业学院	changshananfangzhiyexueyuan
长沙医学院	changshayixueyuan
长沙职业技术学院	changshazhiyejishuxueyuan
常熟理工学院	changshuligongxueyuan
长治学院	changzhixueyuan
长治医学院	changzhiyixueyuan
长治职业技术学院	changzhizhiyejishuxueyuan
常州纺织服装职业技术学院	changzhoufangzhifuzhuangzhiyejishuxueyuan
常州工程职业技术学院	changzhougongchengzhiyejishuxueyuan
常州工学院	changzhougongxueyuan
常州机电职业技术学院	changzhoujidianzhiyejishuxueyuan
常州信息职业技术学院	changzhouxinxizhiyejishuxueyuan
巢湖学院	chaohuxueyuan
潮汕职业技术学院	chaoshanzhiyejishuxueyuan
郴州职业技术学院	chenzhouzhiyejishuxueyuan
承德医学院	chengdeyixueyuan
成都大学	chengdudaxue
成都纺织高等专科学校	chengdufangzhigaodengzhuankexuexiao
成都航空职业技术学院	chengduhangkongzhiyejishuxueyuan
成都理工大学	chengduligongdaxue
成都农业科技职业学院	chengdunongyekejizhiyexueyuan
成都体育学院	chengdutiyuxueyuan
成都信息工程学院	chengduxinxigongchengxueyuan
成都职业技术学院	chengduzhiyejishuxueyuan
成都中医药大学	chengduzhongyiyaodaxue
赤峰学院	chifengxueyuan
重庆城市管理职业学院	chongqingchengshiguanlizhiyexueyuan
重庆大学	chongqingdaxue
重庆电力高等专科学校	chongqingdianligaodengzhuankexuexiao
重庆电子工程职业学院	chongqingdianzigongchengzhiyexueyuan
重庆工程职业技术学院	chongqinggongchengzhiyejishuxueyuan
重庆工贸职业技术学院	chongqinggongmaozhiyejishuxueyuan
重庆工商大学	chongqinggongshangdaxue
重庆工学院	chongqinggongxueyuan
重庆工业职业技术学院	chongqinggongyezhiyejishuxueyuan
