中国科学技术大学	zhongguokexuejishudaxue
科大	keda
清华大学	qinghuadaxue
清华	qinghua
北京大学	beijingdaxue
北大	beida
中国人民大学	zhongguorenmindaxue
人大	renda
北京航空航天大学	beijinghangkonghangtiandaxue
北航	beihang
北京师范大学	beijingshifandaxue
北京理工大学	beijingligongdaxue
中国农业大学	zhongguonongyedaxue
中央民族大学	zhongyangminzudaxue
厦门大学	xiamendaxue
厦大	xiada
兰州大学	lanzhoudaxue
中山大学	zhongshandaxue
中大	zhongda
华南理工大学	huananligongdaxue
华工	huagong
哈尔滨工业大学	haerbingongyedaxue
武汉大学	wuhandaxue
武大	wuda
华中科技大学	huazhongkejidaxue
华科	huake
中南大学	zhongnandaxue
中南	zhongnan
湖南大学	hunandaxue
国防科技大学	guofangkejidaxue
吉林大学	jilindaxue
吉大	jida
南京大学	nanjingdaxue
南大	nanda
东南大学	dongnandaxue
东大	dongda
大连理工大学	dalianligongdaxue
大工	dagong
东北大学	dongbeidaxue
山东大学	shandongdaxue
山大	shanda
中国海洋大学	zhongguohaiyangdaxue
海大	haida
西安交通大学	xianjiaotongdaxue
西北工业大学	xibeigongyedaxue
西北农林科技大学	xibeinonglinkejidaxue
西农	xinong
复旦大学	fudandaxue
复旦	fudan
上海交通大学	shanghaijiaotongdaxue
上交	shangjiao
同济大学	tongjidaxue
同济	tongji
华东师范大学	huadongshifandaxue
四川大学	sichuandaxue
川大	chuanda
电子科技大学	dianzikejidaxue
南开大学	nankaidaxue
天津大学	tianjindaxue
天大	tianda
浙江大学	zhejiangdaxue
浙大	zheda
重庆大学	chongqingdaxue
重大	zhongda
