aba	阿巴	Aba	abaA
abing	阿炳	Chiang Yu-heng	abingC
achang	阿昌	Aita	achangA
acheng	阿城	Acheng	achengA
ada	阿达	Ada	adaA
adan	阿丹	Adam	adanA
aduo	阿朵	Aduo	aduoA
aer	阿尔	Al	aerA
afu	阿福	Lucky cat	afuL
agen	阿根	Argentina	agenA
aha	啊哈	Aha!	ahaA
ahe	阿河	A He	aheA
aiai	皑皑	White	aiaiW
aiai	霭霭	Opulent	aiaiO
aibian	癌变	Cancerization	aibianC
aicai	爱财	Wealthy	aicaiW
aicheng	爱称	Title of honor	aichengT
aichou	哀愁	Sorrowful lament	aichouS
aida	挨打	Beaten	aidaB
aidai	爱戴	To admire and respect	aidaiT
aidang	爱党	Love for the party	aidangL
aidao	哀悼	Mourning	aidaoM
aide	爱得	Loved	aideL
aidu	爱读	Love to read	aiduL
aie	挨饿	Go hungry	aieG
aier	埃尔	Eir	aierE
aifu	爱抚	To show tender care for	aifuT
aige	哀歌	A mournful song	aigeA
aiguo	爱国	Patriotic	aiguoP
aiguo	爱过	Loved before	aiguoL
aihao	爱好	Hobby	aihaoH
aihao	哀嚎	Wailing	aihaoW
aihen	爱恨	Love and hate	aihenL
aihu	爱护	Cherish	aihuC
aiji	埃及	Egypt	aijiE
aijia	爱家	Aijia	aijiaA
aijia	哀家	Mourning music	aijiaM
aijian	挨肩	Shoulder to shoulder	aijianS
aijiao	爱教	Love Teaching	aijiaoL
aijin	挨近	Near	aijinN
aikan	爱看	Love to watch	aikanL
aike	艾克	Eric	aikeE
ailian	爱恋	Affection	ailianA
ailian	爱怜	Fondly cherish	ailianF
ailian	哀怜	To pity	ailianT
ailun	艾伦	Allen	ailunA
aima	挨骂	Receive criticism	aimaR
aimao	爱猫	Love cats	aimaoL
aimei	暧昧	Illicit	aimeiI
aimi	埃米	Emily	aimiE
aimin	爱民	Love of the people	aiminL
aiming	哀鸣	Lamentation	aimingL
aimu	爱慕	To admire	aimuT
ainiao	爱鸟	Bird-loving	ainiaoB
aipang	矮胖	Short and stout	aipangS
aiqiang	矮墙	Low wall	aiqiangL
aiqie	爱妾	Consort	aiqieC
aiqie	哀切	Grief-stricken	aiqieG
aiqin	爱琴	Aegean	aiqinA
aiqing	爱情	Love	aiqingL
aiqing	艾青	Ai Qing	aiqingA
aiqiu	哀求	Beg	aiqiuB
airen	爱人	Lover	airenL
aishang	爱上	To fall in love with	aishangT
aishang	哀伤	Sad	aishangS
aishi	碍事	Be in the way	aishiB
aishi	爱是	Love is	aishiL
