aerbaniya 阿尔巴尼亚
aerbeisishan 阿尔卑斯山
aerbeisishanmai 阿尔卑斯山脉
aerjiliya 阿尔及利亚
aertaishanmai 阿尔泰山脉
aifeiertieta 埃菲尔铁塔
aiguotongyizhanxian 爱国统一战线
aisaiebiya 埃塞俄比亚
aisenhaoweier 艾森豪威尔
akongjiaguashan 阿空加瓜山
alabobandao 阿拉伯半岛
alabolianheqiuzhangguo 阿拉伯联合酋长国
alaboshuzi 阿拉伯数字
alashanzuoqi 阿拉善左旗
aletaidiqu 阿勒泰地区
amusitedan 阿姆斯特丹
andisishanmai 安第斯山脉
anjijiasuanzhi 氨基甲酸酯
anlihuichangrenlishiguo 安理会常任理事国
antiguahebabuda 安提瓜和巴布达
aodaliyaren 澳大利亚人
aolinpikegongyuan 奥林匹克公园
aolinpikeyundong 奥林匹克运动
aolinpikeyundonghui 奥林匹克运动会
aomentebiexingzhengqu 澳门特别行政区
aomentebiexingzhengqujibenfa 澳门特别行政区基本法
aosikajinxiangjiang 奥斯卡金像奖
aosimandiguo 奥斯曼帝国
aositeluofusiji 奥斯特洛夫斯基
babilunwangguo 巴比伦王国
babuyaxinjineiya 巴布亚新几内亚
badalingchangcheng 八达岭长城
badanjilinshamo 巴丹吉林沙漠
baerganbandao 巴尔干半岛
baerkashihu 巴尔喀什湖
baifenzhiershi 百分之二十
baifenzhijiushi 百分之九十
baifenzhiqishi 百分之七十
baimudaqundao 百慕大群岛
baisibudeqijie 百思不得其解
baiwenburuyijian 百闻不如一见
balishengmuyuan 巴黎圣母院
banamagongheguo 巴拿马共和国
banamayunhe 巴拿马运河
bangongzidonghua 办公自动化
baxilianbanggongheguo 巴西联邦共和国
bayankalashan 巴颜喀拉山
beidaxiyanggongyuezuzhi 北大西洋公约组织
beiergelaide 贝尔格莱德
beijingchubanshe 北京出版社
beijingdaxuechubanshe 北京大学出版社
beijingdianyingxueyuan 北京电影学院
beijingdongwuyuan 北京动物园
beijinggongyedaxue 北京工业大学
beijinghangkonghangtiandaxue 北京航空航天大学
beijinghuagongdaxue 北京化工大学
beijingkejidaxue 北京科技大学
beijingligongdaxue 北京理工大学
beijinglinyedaxue 北京林业大学
beijingrenmindahuitang 北京人民大会堂
beijingshifandaxue 北京师范大学
beijingshizhengfu 北京市政府
beijingwaiguoyudaxue 北京外国语大学
beijingwudaoxueyuan 北京舞蹈学院
beijingyikedaxue 北京医科大学
beijingyoudiandaxue 北京邮电大学
beijingzhanlanguan 北京展览馆
beikaluolainazhou 北卡罗来纳州
beimaliyanaqundao 北马里亚纳群岛
beimeiziyoumaoyiqu 北美自由贸易区
bianzhengweiwuzhuyi 辩证唯物主义
biaoyanyishujia 表演艺术家
biaozhundaqiya 标准大气压
bidagelasi 毕达哥拉斯
bijibendiannao 笔记本电脑
biletuoliya 比勒陀利亚
binxifaniyadaxue 宾夕法尼亚大学
binxifaniyazhou 宾夕法尼亚州
bixianliqiqi 必先利其器
bixiansisizhe 必先斯四者
bolierxiangxing 波粒二象性
boluobennisa 伯罗奔尼撒
bubaoherongye 不饱和溶液
buershiweike 布尔什维克
bufeichuihuizhili 不费吹灰之力
buganyueleichiyibu 不敢越雷池一步
buguansanqiershiyi 不管三七二十一
bujiemengyundong 不结盟运动
bujinafasuo 布基纳法索
buketongrieryu 不可同日而语
bumingfeixingwu 不明飞行物
bushilushanzhenmianmu 不识庐山真面目
buyinuosiailisi 布宜诺斯艾利斯
buzhilaozhijiangzhi 不知老之将至
buzuweiwairendao 不足为外人道
caisedayinji 彩色打印机
caizhengjingjiweiyuanhui 财政经济委员会
chaerhanyanhu 察尔汗盐湖
chaidamupendi 柴达木盆地
chaikefusiji 柴可夫斯基
chaiyoufadongji 柴油发动机
changjianghoulangtuiqianlang 长江后浪推前浪
changjianglizuzizhixian 昌江黎族自治县
changjiangsanjiaozhou 长江三角洲
changjiangzhongxiayou 长江中下游
changjihuizuzizhizhou 昌吉回族自治州
changtuqichezhan 长途汽车站
changwuweiyuanhui 常务委员会
chanpinzhiliangfa 产品质量法
