abuzhabi 阿布扎比
aerbeisi 阿尔卑斯
aerjier 阿尔及尔
aersasi 阿尔萨斯
afuleer 阿芙乐尔
aibushishou 爱不释手
aidemengdun 埃德蒙顿
aierbushang 哀而不伤
aierlandao 爱尔兰岛
aierlanren 爱尔兰人
aigangjingye 爱岗敬业
aihongbianye 哀鸿遍野
aijiaaihu 挨家挨户
aikesiguang 爱克斯光
ailibuli 爱理不理
ailishegong 爱丽舍宫
aimenaihu 挨门挨户
aishaniya 爱沙尼亚
aishengtanqi 唉声叹气
aixinjueluo 爱新觉罗
aiyinsitan 爱因斯坦
aiyumianzi 碍于面子
aiyuqingmian 碍于情面
ajimide 阿基米德
akadiya 阿卡迪亚
akaliusi 阿喀琉斯
alabohai 阿拉伯海
alaboren 阿拉伯人
alabowen 阿拉伯文
alaboyu 阿拉伯语
alamutu 阿拉木图
alashanmeng 阿拉善盟
alasijia 阿拉斯加
aliekexie 阿列克谢
anbangdingguo 安邦定国
anbujiuban 按部就班
andalvehu 安大略湖
andisishan 安第斯山
andongniao 安东尼奥
anduwannian 安度晚年
anfaxianchang 案发现场
anfenshouji 安分守己
anlaofenpei 按劳分配
anlaoquchou 按劳取酬
annabuzhu 按捺不住
anranshise 黯然失色
anshizhiluan 安史之乱
anteweipu 安特卫普
anweiyugong 安危与共
anwutianri 暗无天日
anxixiangsuan 安息香酸
anyingzhazhai 安营扎寨
aodaliya 澳大利亚
aodiliren 奥地利人
aogusidu 奥古斯都
aolinpike 奥林匹克
aolinpiya 奥林匹亚
aorenzhiao 澳人治澳
aosikajiang 奥斯卡奖
aoxuelingshuang 傲雪凌霜
apalaqi 阿帕拉契
asaibaijiang 阿塞拜疆
asensongdao 阿森松岛
asibatian 阿斯巴甜
asipilin 阿司匹林
asitana 阿斯塔纳
atelasi 阿特拉斯
aximofu 阿西莫夫
babaduosi 巴巴多斯
badashanren 八大山人
badierqi 拔地而起
baerdimo 巴尔的摩
baerzhake 巴尔扎克
bafaliya 巴伐利亚
baguolianjun 八国联军
baibaijingjing 白白净净
baichuanguihai 百川归海
baidubuyan 百读不厌
baieluosi 白俄罗斯
baifeidaixing 百废待兴
baifeijuxing 百废具兴
baifenzhibai 百分之百
baifenzhiji 百分之几
baifenzhishi 百分之十
baiganjiaoji 百感交集
baigezhengliu 百舸争流
baihongguanri 白虹贯日
baihuazhengyan 百花争艳
baijinhangong 白金汉宫
baijinzhuyi 拜金主义
baikoumobian 百口莫辩
bailinghaixia 白令海峡
baimafeima 白马非马
bainiaochaofeng 百鸟朝凤
baishangdihui 拜上帝会
baishanheishui 白山黑水
baishixueyi 拜师学艺
baishouqijia 白手起家
baituandazhan 百团大战
baiyexingwang 百业兴旺
baizhanbaisheng 百战百胜
baizhebuhui 百折不回
baizhebunao 百折不挠
baizhiheizi 白纸黑字
bajisitan 巴基斯坦
balesitan 巴勒斯坦
balihehui 巴黎和会
balinzuoqi 巴林左旗
