aba 阿巴
abing 阿炳
achang 阿昌
acheng 阿城
ada 阿达
adan 阿丹
aduo 阿朵
aer 阿尔
afu 阿福
agen 阿根
aha 啊哈
ahe 阿河
aiai 皑皑
aibian 癌变
aicai 爱财
aicheng 爱称
aichou 哀愁
aida 挨打
aidai 爱戴
aidang 爱党
aidao 哀悼
aide 爱得
aidu 爱读
aie 挨饿
aier 埃尔
aifu 爱抚
aige 哀歌
aiguo 爱国
aihao 爱好
aihen 爱恨
aihu 爱护
aiji 埃及
aijia 爱家
aijian 挨肩
aijiao 爱教
aijin 挨近
aikan 爱看
aike 艾克
ailian 爱恋
ailun 艾伦
aima 挨骂
aimao 爱猫
aimei 暧昧
aimi 埃米
aimin 爱民
aiming 哀鸣
aimu 爱慕
ainiao 爱鸟
aipang 矮胖
aiqiang 矮墙
aiqie 爱妾
aiqin 爱琴
aiqing 爱情
aiqiu 哀求
airen 爱人
aishang 爱上
aishi 碍事
aishu 爱书
aisi 哀思
aitan 哀叹
aitong 哀痛
aiwan 爱玩
aiwei 艾薇
aiwen 爱问
aixi 爱惜
aixiao 矮小
aixin 爱心
aiya 哎呀
aiyi 爱意
aiyo 哎哟
aiyu 哀语
aiyuan 哀怨
aiyue 哀乐
aizeng 爱憎
aizhe 爱着
aizheng 癌症
aizhuo 矮桌
aizi 矮子
ajiao 阿娇
ala 阿拉
alai 阿来
alan 阿兰
ali 阿里
alun 阿伦
aluo 阿罗
ama 阿妈
aman 阿曼
amei 阿妹
amen 阿门
ameng 阿蒙
amu 阿母
ana 阿娜
anan 暗暗
anban 案板
anbao 安保
anbian 岸边
anbu 暗部
ancang 暗藏
anchao 暗潮
anchen 暗沉
ancheng 案秤
anchu 暗处
anchuang 暗疮
anci 按此
andan 暗淡
andao 按到
andi 安迪
anding 安定
andong 按动
andu 暗度
andun 安顿
anduo 安多
anfang 安放
anfen 安分
anfu 安抚
angan 安敢
angen 铵根
anggui 昂贵
angqi 昂起
angran 盎然
angshou 昂首
angsi 盎司
angtou 昂头
anguang 暗光
anguo 安国
angyang 昂扬
angzang 肮脏
anhai 暗害
anhan 暗含
anhao 暗号
anhe 暗河
anhong 暗红
anhou 案后
anhu 按户
anhua 暗花
anhui 安徽
anji 氨基
anjia 安家
anjian 按键
anjiao 暗礁
anjing 安静
anju 安居
anjuan 案卷
ankang 安康
anla 安拉
anle 安乐
anlei 胺类
anli 案例
anlu 安陆
anlv 暗绿
anma 鞍马
anman 安曼
anmen 俺们
anmi 安谧
anmian 安眠
anmin 安民
anmo 按摩
anna 安娜
annan 安南
anni 安妮
anning 安宁
anniu 按钮
anpai 安排
anpei 安培
anping 安平
anqi 按期
anqiao 岸桥
anqin 安寝
anqing 案情
anqu 暗渠
anquan 安全
anran 安然
anri 按日
anruo 暗弱
ansai 安塞
anse 暗色
ansha 暗杀
anshan 鞍山
anshang 安上
anshen 安神
anshi 按时
anshu 桉树
anshui 氨水
anshun 安顺
anshuo 按说
ansuan 氨酸
antai 安泰
antan 岸滩
anting 安亭
antou 案头
antu 按图
anwei 安慰
anwen 安稳
anwo 安卧
anxi 安息
anxia 按下
anxian 岸线
anxiang 安详
anxiao 暗笑
anxin 安心
anxu 按序
anya 按压
anyan 铵盐
anyang 安阳
anye 暗夜
anyi 安逸
anying 暗影
anyou 案由
anyu 安于
anzai 安在
anzang 安葬
anzhao 按照
anzhe 按着
anzhen 安贞
anzhi 安置
anzhong 暗中
anzhu 按住
anzhuang 安装
anzhuo 安卓
anzi 案子
aoao 嗷嗷
aoban 凹版
aobao 敖包
aocao 凹槽
aochu 凹处
aogu 傲骨
