aaa 啊啊啊
aboluo 阿波罗
achangzu 阿昌族
adaofu 阿道夫
aerba 阿尔巴
aerfa 阿尔法
aerka 阿尔卡
aertai 阿尔泰
afanti 阿凡提
afuhan 阿富汗
agenting 阿根廷
agubai 阿古柏
aiaide 矮矮的
aibuai 爱不爱
aidehua 爱德华
aidejia 埃德加
aidingbao 爱丁堡
aidisheng 爱迪生
aierlan 爱尔兰
aifeier 埃菲尔
aigezi 矮个子
aiguozhe 爱国者
aihaozhe 爱好者
aihuiqu 爱辉区
aijiyin 癌基因
ailaodong 爱劳动
ailaoshan 哀牢山
ailianshuo 爱莲说
ailike 埃里克
ailisi 爱丽丝
aimianzi 爱面子
aiqingshi 爱情诗
aiqinhai 爱琴海
aishucong 矮树丛
aishuren 爱书人
aisiqi 艾思奇
aixibao 癌细胞
aiyuhen 爱与恨
aizhimeng 爱之梦
aizibing 艾滋病
aizuguo 爱祖国
akesu 阿克苏
akuina 阿奎那
alabo 阿拉伯
alading 阿拉丁
alanre 阿兰若
alashan 阿拉善
aletai 阿勒泰
alianqiu 阿联酋
alilang 阿里郎
alishan 阿里山
amiba 阿米巴
amuhe 阿姆河
anchashi 按察使
anchenchen 暗沉沉
andalve 安大略
andaman 安达曼
andaoer 安道尔
andelie 安德烈
andelu 安德鲁
andesen 安德森
andili 暗地里
andingmen 安定门
andisi 安第斯
andongni 安东尼
anfahou 案发后
angeer 安格尔
angela 安哥拉
anggelu 盎格鲁
anguiding 按规定
anhuaxian 安化县
anhuisheng 安徽省
anhunqu 安魂曲
anjianfa 氨碱法
anjianmen 安检门
anjianshi 按键式
anjihua 按计划
anjisuan 氨基酸
anjixian 安吉县
ankala 安卡拉
anlesi 安乐死
anleyi 安乐椅
anlihui 安理会
anlishuo 按理说
anlushan 安禄山
anlvse 暗绿色
anmianyao 安眠药
anniushi 按钮式
anpeili 安培力
anquandai 安全带
anquandeng 安全灯
anquanfa 安全法
anquangan 安全感
anquanguan 安全观
anquanju 安全局
anquanmao 安全帽
anquantao 安全套
anquanwang 安全网
anquanxian 安全线
anquanxing 安全性
ansaixian 安塞县
anshixing 暗示性
anshizhe 暗示着
antusheng 安徒生
anuode 阿诺德
anuosi 阿诺斯
anxixian 安溪县
anyangshi 安阳市
anyangxian 安阳县
anyangyuan 安养院
anzhuangbao 安装包
anzise 暗紫色
aobuzhu 熬不住
aodesa 敖德萨
aodesai 奥德赛
aodili 奥地利
aoerfu 奥尔夫
aohanqi 敖汉旗
aokelan 奥克兰
aolanduo 奥兰多
aoliege 奥列格
aolifu 奥利弗
aomianjing 凹面镜
aosailuo 奥赛罗
aosika 奥斯卡
aosilu 奥斯陆
aosiman 奥斯曼
aosite 奥斯特
aotaoji 奥陶纪
aotoujing 凹透镜
aoweier 奥维尔
aoweihui 奥委会
aoxianchu 凹陷处
aoxiaqu 凹下去
aoyunhui 奥运会
aozuwei 奥组委
aqingsao 阿庆嫂
asamu 阿萨姆
asiwang 阿斯旺
atuer 阿图尔
ayida 阿依达
babaili 八百里
babianxing 八边形
babilun 巴比伦
baboluo 巴勃罗
babude 巴不得
badaling 八达岭
badanxing 巴旦杏
baergan 巴尔干
bafenwan 巴芬湾
bageda 巴格达
baguanzi 拔罐子
baguwen 八股文
bahama 巴哈马
bahuoguan 拔火罐
baiaixing 白矮星
baibaishou 摆摆手
baibashi 百八十
baicaiye 白菜叶
baicaoyuan 百草园
baichengxian 拜城县
baichideng 白炽灯
baichuanxiang 白川乡
baichulai 摆出来
baidagua 白大褂
baidanbai 白蛋白
baieji 白垩纪
baifenbi 百分比
baifendian 百分点
baifenlv 百分率
baifenshu 百分数
baifenzhi 百分之
baifuzhang 百夫长
baigongguan 白公馆
baigujing 白骨精
baihehua 百合花
baiheke 百合科
baihuabing 白化病
baihuahua 白花花
baihuajiang 百花奖
baihualin 白桦林
baihuashi 白话诗
baihuashu 白桦树
baihuawen 白话文
baihuayuan 百花园
baihutang 白虎堂
baihuzi 白胡子
baijiaxing 百家姓
baijiazi 摆架子
baijuyi 白居易
baikaishui 白开水
baikuoqi 摆阔气
bailandi 白兰地
bailanhua 白兰花
bailaohui 百老汇
bailianhua 白莲花
bailianjiao 白莲教
bailinghai 白令海
bailingniao 百灵鸟
bailixiang 百里香
bailongjiang 白龙江
bailudong 白鹿洞
bailuzhou 白鹭洲
baimangmang 白茫茫
baimaonv 白毛女
baimasi 白马寺
baimengmeng 白蒙蒙
baimifan 白米饭
baimingdan 白名单
baimuda 百慕大
baipishu 白皮书
baiqilai 摆起来
baiqiuen 白求恩
bairike 百日咳
bairimeng 白日梦
bairujiao 白乳胶
bairuyu 白如玉
baishaner 白衫儿
baishengsheng 白生生
baishezhuan 白蛇传
baishishi 摆事实
baisuzhen 白素贞
baitasi 白塔寺
baitiane 白天鹅
baitiepi 白铁皮
baitoufa 白头发
baitouweng 白头翁
baiwandun 百万吨
baiwannian 百万年
baiwanyuan 百万元
baiwanzhong 百万种
baiwuchang 白无常
baixibao 白细胞
baixingjia 百姓家
baixiude 白修德
baiyangdian 白洋淀
baiyangshu 白杨树
