嬷嬷	mama
小匙	xiaoshi
掺假	canjia
何似	heshi
甲长	jiazhang
加长	jiazhang
拾级	shiji
万乘	wancheng
行行	xingxing
长达	zhangda
不长	buzhang
步长	buzhang
大佛	dafu
各行	gexing
人得	rende
绳长	shengzhang
似有	shiyou
药匙	yaoshi
真似	zhenshi
重捕	zhongbu
率师	lvshi
小行	xiaoxing
重制	zhongzhi
重置	zhongzhi
诸佛	zhufu
不似	bushi
大都	dadu
回鹘	huigu
降妖	jiangyao
乡长	xiangchang
一弹	yidan
一石	yishi
重睹	zhongdu
古朴	gupiao
移行	yixing
用得着	yongdezhe
长声	zhangsheng
长绳	zhangsheng
长湖	zhanghu
重划	zhonghua
重画	zhonghua
布什	bushen
纯朴	chunpiao
丹佛	danfu
弹拨	danbo
地笑	dixiao
调速	diaosu
调小	diaoxiao
拂士	fushi
佛道	fudao
还款	haikuan
圜丘	huanqiu
会稽	huiji
几行	jixing
开模	kaimo
看似	kanshi
两行	liangxing
熟语	shouyu
陷没	xianmei
寻思	xinsi
音长	yinzhang
质朴	zhipiao
重振	zhongzhen
重上	zhongshang
着实	zheshi
解法	xiefa
重游	zhongyou
预调	yudiao
轻轻地	qingqingdi
长椅	zhangyi
默默地	momodi
悄悄地	qiaoqiaodi
卜算子	bosuanzi
偷偷地	toutoudi
越长	yuezhang
巴特勒	batelei
最长	zuizhang
嘴长	zuizhang
长堤	zhangdi
静静地	jingjingdi
上行	shanghang
深深地	shenshendi
长距	zhangju
一着	yizhe
盛着	shengzhe
万重	wanzhong
竟似	jingshi
刘禅	liuchan
简要地	jianyaodi
角抵	jiaodi
恳切地	kenqiedi
提示行	tishixing
重写	zhongxie
曾毅	cengyi
解州	jiezhou
佛骨	fugu
忽地	hudi
吸着	xizhuo
薄言	baoyan
阿房	afang
盛酒	shengjiu
扎成	zhacheng
热切地	reqiedi
桥长	qiaozhang
削尖	xuejian
重塑	zhongsu
胡佛	hufu
恭敬地	gongjingdi
聒噪	guazao
脱模	tuomo
吸着烟	xizhuoyan
似火	shihuo
迦叶	jiaye
削低	xuedi
模糊地	mohudi
剥开	bokai
含蓄地	hanxudi
大宛	dawan
鼻塞	bise
差互	chahu
其长	qizhang
悠长	youzhang
还长	haizhang
卜问	bowen
威严地	weiyandi
猛地	mengdi
驮子	tuozi
身着	shenzhe
极长	jizhang
几曾	jizeng
这得	zhede
长轴	zhangzhou
总长	zongzhang
重设	zhongshe
暴晒	pushai
子长	zizhang
字长	zizhang
行字	xingzi
行数	xingshu
轻率地	qingshuaidi
剥除	baochu
丁炔	dinggui
惠勒	huilei
快活地	kuaihuodi
长凳	zhangdeng
絮聒	xugua
调过	diaoguo
粗略地	culvedi
铁勒	tielei
缪斯	mousi
创造性地	chuangzaoxingdi
悠闲地	youxiandi
剥脱	baotuo
骄傲地	jiaoaodi
悲伤地	beishangdi
净角	jingjiao
多行	duoxing
介壳	jieke
诙谐地	huixiedi
重回	zhonghui
具体地说	jutidishuo
重做	zhongzuo
袒胸露腹	tanxionglufu
敕勒歌	chileige
希特勒	xitelei
重开	zhongkai
尾椎骨	weichuigu
铅山	qianshan
薄云	baoyun
系着	xizhe
右仆射	youpushe
重整	zhongzheng
可长可短	kezhangkeduan
点着头	dianzhaotou
轻快地	qingkuaidi
重构	zhonggou
重下	zhongxia
难过地	nanguodi
三行	sanxing
重造	zhongzao
角力	jiaoli
自见	zijian
模具	moju
敏锐地	minruidi
什科夫	shenkefu
更长	gengzhang
蓦地	modi
长信	zhangxin
弹起	danqi
征辟	zhengpi
成佛	chengfu
细心地	xixindi
仔仔细细	zaizixixi
汤汤	tangtang
皮儿	pir
猛撞	mengchuang
必得	bidei
媳妇儿	xifur
羹汤	gengshang
囤积	dunji
模板	moban
扎营	zaying
中牟	zhongmou
逐行	zhuxing
谦恭地	qiangongdi
谦逊地	qianxundi
长山	zhangshan
之长	zhizhang
地说	dishuo
端的	duande
简朴	jianpiao
较长	jiaozhang
更多地	gengduodi
马尾	mayi
真诚地	zhenchengdi
库尔勒	kuerlei
藏袍	cangpao
仆射	pushe
海勒	hailei
比什凯克	bishenkaike
加德满都	jiademandou
阿勒泰	aleitai
伏尔加格勒	fuerjiagelei
列宁格勒	lieninggelei
洪都拉斯	hongdoulasi
尼泊尔	nipoer
佛罗里达	fuluolida
整行	zhengxing
纸扎	zhizha
可调	kediao
哪吒	nazha
弹跳	dantiao
旦角	danjiao
薄膜	baomo
着生	zhesheng
佝偻病	koulvbing
正角	zhengjiao
嘌呤	biaoling
调制解调器	tiaozhijiediaoqi
彼得格勒	bidegelei
斯大林格勒	sidalingelei
奥古斯都	aogusidou
托勒密	tuoleimi
米勒	milei
戴姆勒	daimulei
高句丽	gaojuli
入藏	rucang
长辛店	zhangxindian
畹町	wanting
车长	chezhang
的黎波里	deliboli
海参崴	haishenwei
吐谷浑	tuguhun
颠茄	dianjia
扎紧	zhajin
不恰当地	buqiadangdi
薄纸	bozhi
湮灭	yinmie
霍地	huodi
明智地	mingzhidi
重归	zhonggui
勒布朗	leibulang
查查	zhazha
乐句	leju
活泼地	huopodi
缪勒	moulei
歌儿	ger
宇称	yucheng
老大夫	laodafu
长些	zhangxie
刨削	paoxue
印模	yinmo
微调	weidiao
成行	chenghang
流畅地	liuchangdi
磨削	moxue
联调	liandiao
调亮	diaoliang
调暗	diaoan
锻轧	duanya
绵长	mianzhang
坦率地	tanshuaidi
塞缪尔	saimouer
收降	shoujiang
概括地说	gaikuodishuo
着床	zhechuang
科勒	kelei
脯氨酸	puansuan
长白	zhangbai
穆勒	mulei
呆呆地	daidaidi
嘁嘁喳喳	qiqizhazha
天姥	tianlao
差人	charen
幸运地	xingyundi
情长	qingzhang
抽象地	chouxiangdi
槁暴	gaobao
注会	zhuhui
浑朴	hunpiao
虔诚地	qianchengdi
重重地	chongchongdi
脑卒中	naozuzhong
藏式	cangshi
调大	diaoda
调好	diaohao
调配出	diaopeichu
出落	chula
奇迹般地	qijibandi
弹唱	danchang
格什温	geshenwen
汉藏	hancang
调低	diaodi
调高	diaogao
托夫勒	tuofulei
椎骨	chuigu
该行	gaixing
重排	zhongpai
重结晶	zhongjiejing
富勒烯	fuleixi
炔烃	guiting
不对称性	buduichengxing
褪去	tunqu
杜勒斯	duleisi
自愿地	ziyuandi
都指挥使	douzhihuishi
用不着	yongbuzhe
地问	diwen
长效	zhangxiao
全长	quanzhang
朝花夕拾	chaohuaxishi
远远地	yuanyuandi
莫泊桑	moposang
川藏	chuancang
汪曾祺	wangcengqi
泊秦淮	poqinhuai
睡不着	shuibuzhe
所恶	suoe
国行	guoxing
无情地	wuqingdi
仙都	xiandou
找不着	zhaobuzhe
行中	xingzhong
系上	xishang
隐没	yinmei
长嘴	zhangzui
长醉	zhangzui
花都	huadou
浚县	junxian
重耳	zhonger
长杆	zhanggan
还田	haitian
长住	zhangzhu
许寿裳	xushoushang
地看	dikan
酬酢	choucu
长风	zhangfeng
长气	zhangqi
掺杂	canza
云长	yunzhang
箪食壶浆	dansihujiang
贾平凹	jiapingao
长须	zhangxu
长鞭	zhangbian
劲舞	jinwu
不着	buzhe
落下来	laxialai
长约	zhangyue
藏北	cangbei
新乐府	xinlefu
整宿	zhengsu
三省	sansheng
稍长	shaozhang
段长	duanzhang
鸿鹄	honggu
行阵	xingzhen
系住	xizhu
都护府	douhufu
天长	tianzhang
素朴	supiao
几行字	jixingzi
多长	duozhang
一行行	yixingxing
长柄	zhangbing
长裙	zhangqun
体长	tizhang
总长度	zongzhangdu
重檐	zhongyan
重来	zhonglai
查良铮	chaliangzheng
青藏铁路	qingcangtielu
四行	sixing
曾国藩	cengguofan
蒙着	mengzhao
长桌	zhangzhuo
长桥	zhangqiao
沉着脸	chenzhuolian
宁死不降	ningsibujiang
老嬷嬷	laomama
三校	sanxiao
哈哈地笑	hahadixiao
眯着眼	mizhuoyan
花都区	huadouqu
长路	zhanglu
圈舍	quanshe
调调	tiaodiao
第一行	diyixing
没过多久	moguoduojiu
还家	haijia
长丝	zhangsi
总行	zongxing
袒胸露乳	tanxiongluru
朱由校	zhuyouxiao
勒石	leishi
藏学	cangxue
藏北高原	cangbeigaoyuan
掺入	canru
雾都	wudou
何所似	hesuoshi
佛国	fuguo
仙乐	xianle
柔情似水	rouqingshishui
搅混	jiaogun
降妖除魔	jiangyaochumo
率部	lvbu
重订	zhongding
盛满	shengman
够得着	goudezhe
寻不着	xunbuzhe
睡大觉	shuidajue
长尾巴	zhangweiba
长沟	zhanggou
重磨	zhongmo
白蛇传	baishechuan
颤动	zhandong
拌和	banhe
阿弥陀佛	amituofo
钱伟长	qianweizhang
长图	zhangtu
弹出	danchu
还治其人之身	haizhiqirenzhishen
长盛不衰	zhangshengbushuai
算得了	suandele
长三角	zhangsanjiao
一幢幢	yichuangchuang
率兵	lvbing
心宿	xinsu
弹奏出	danzouchu
盛水	shengshui
没过几天	moguojitian
发挥所长	fahuisuozhang
适时地	shishidi
阏氏	eshi
管不着	guanbuzhe
计算尺	jisuanche
长时间	zhangshijian
很长	henzhang
多长时间	duozhangshijian
青藏	qingcang
曾母暗沙	cengmuansha
勒拿河	leinahe
洗马	xima
燕都	yandou
敕勒	chilei
敕勒川	chileichuan
退耕还林	tuigenghailin
弧长	huzhang
藏语	cangyu
厦大	shada
圈养	quanyang
佛得角	fudejiao
衰变	cuibian
神荼郁垒	shentuyulei
边长	bianzhang
变长	bianzhang
极好地	jihaodi
铸模	zhumo
盛上	shengshang
藏文	cangwen
藏传佛教	cangchuanfojiao
首行	shouxing
较长时间	jiaozhangshijian
藏羚羊	canglingyang
果脯	guopu
有秩序地	youzhixudi
寿命长	shoumingzhang
脱落下来	tuolaxialai
大堡礁	dapujiao
海螵蛸	haipiaoshao
大黄鱼	daihuangyu
椎间盘	chuijianpan
等长	dengzhang
藏羚	cangling
释迦牟尼	shijiamuni
亲率	qinlv
阳明堡	yangmingbao
一幢	yichuang
翟志刚	dizhigang
鹰厦铁路	yingshatielu
干一行	ganyixing
周期长	zhouqizhang
进藏	jincang
率团参加	lvtuancanjia
削成	xuecheng
刹帝利	shadili
太长	taizhang
率众	lvzhong
锡林郭勒盟	xilinguoleimeng
哈佛大学	hafudaxue
系在	xizai
长宽	zhangkuan
功不可没	gongbukemei
长距离	zhangjuli
弹奏	danzou
不太长	butaizhang
弹开	dankai
弹着点	danzhedian
每行	meixing
定长	dingzhang
第二行	dierxing
见不着	jianbuzhe
空行	kongxing
细调	xidiao
系牢	xilao
乐段	leduan
电声乐	dianshengle
弹拨乐器	danboyueqi
民族乐派	minzulepai
